time,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64
    2.159845,1.921848E-02,2.287012E-02,3.437436E-02,5.831734E-02,1.117914E-01,2.601936E-01,8.517471E-01,4.426830E+00,2.324825E+01,2.938184E+01,9.848914E+00,1.625864E+00,3.850659E-01,1.403032E-01,6.629228E-02,3.653122E-02,2.223807E-02,1.451160E-02,9.967975E-03,7.122105E-03,5.249936E-03,3.968895E-03,3.063580E-03,2.406294E-03,1.918032E-03,1.548117E-03,1.263030E-03,1.039999E-03,8.631871E-04,7.213547E-04,6.063749E-04,5.122754E-04,4.346020E-04,3.699882E-04,3.158583E-04,2.702200E-04,2.315164E-04,1.985196E-04,1.702528E-04,1.459333E-04,1.249291E-04,1.067272E-04,9.090872E-05,7.713042E-05,6.511065E-05,5.461868E-05,4.546706E-05,3.750684E-05,3.062586E-05,2.475097E-05,1.985515E-05,1.596873E-05,1.318078E-05,1.158540E-05,1.113834E-05,1.156515E-05,1.249039E-05,1.361108E-05,1.473955E-05,1.577216E-05,1.665398E-05,1.735644E-05,1.786491E-05,1.817215E-05,1.827487E-05
    2.356194,5.883982E-03,1.037656E-02,2.028967E-02,3.692094E-02,6.874445E-02,1.420072E-01,3.623705E-01,1.353954E+00,7.552947E+00,2.758931E+01,2.581554E+01,5.994865E+00,1.129824E+00,3.274945E-01,1.365479E-01,7.032812E-02,4.119777E-02,2.629661E-02,1.784682E-02,1.268260E-02,9.341171E-03,7.079742E-03,5.492527E-03,4.344505E-03,3.492890E-03,2.847391E-03,2.348948E-03,1.957782E-03,1.646414E-03,1.395432E-03,1.190853E-03,1.022422E-03,8.825021E-04,7.653217E-04,6.664639E-04,5.825076E-04,5.107750E-04,4.491490E-04,3.959405E-04,3.497909E-04,3.095985E-04,2.744639E-04,2.436478E-04,2.165389E-04,1.926286E-04,1.714918E-04,1.527714E-04,1.361661E-04,1.214206E-04,1.083181E-04,9.667358E-05,8.632926E-05,7.715017E-05,6.902104E-05,6.184367E-05,5.553493E-05,5.002525E-05,4.525748E-05,4.118613E-05,3.777675E-05,3.500517E-05,3.285644E-05,3.132316E-05,3.040304E-05,3.009622E-05
    2.552544,3.630392E-03,5.036553E-03,8.698967E-03,1.515805E-02,2.737422E-02,5.396153E-02,1.247555E-01,3.821631E-01,1.834724E+00,1.191119E+01,3.040222E+01,2.101561E+01,3.487447E+00,6.533378E-01,2.003669E-01,8.694321E-02,4.616949E-02,2.778512E-02,1.818713E-02,1.264213E-02,9.192810E-03,6.922846E-03,5.361318E-03,4.247980E-03,3.430399E-03,2.814939E-03,2.341745E-03,1.971249E-03,1.676523E-03,1.438776E-03,1.244604E-03,1.084258E-03,9.505199E-04,8.379659E-04,7.424604E-04,6.608104E-04,5.905221E-04,5.296267E-04,4.765550E-04,4.300449E-04,3.890730E-04,3.528031E-04,3.205469E-04,2.917345E-04,2.658913E-04,2.426194E-04,2.215842E-04,2.025031E-04,1.851366E-04,1.692816E-04,1.547658E-04,1.414437E-04,1.291935E-04,1.179150E-04,1.075283E-04,9.797381E-05,8.921289E-05,8.122997E-05,7.403538E-05,6.766902E-05,6.220324E-05,5.774234E-05,5.441413E-05,5.234914E-05,5.164806E-05
    2.748894,2.955671E-03,3.421630E-03,4.825904E-03,7.456156E-03,1.236313E-02,2.247818E-02,4.681051E-02,1.200832E-01,4.306588E-01,2.478047E+00,1.704173E+01,3.121244E+01,1.573800E+01,2.271824E+00,3.986173E-01,1.103605E-01,4.192410E-02,1.942223E-02,1.031957E-02,6.093639E-03,3.930256E-03,2.736216E-03,2.033476E-03,1.594182E-03,1.302927E-03,1.098668E-03,9.479522E-04,8.318031E-04,7.390519E-04,6.628580E-04,5.988560E-04,5.441441E-04,4.967171E-04,4.551396E-04,4.183509E-04,3.855452E-04,3.560960E-04,3.295060E-04,3.053740E-04,2.833716E-04,2.632266E-04,2.447112E-04,2.276333E-04,2.118292E-04,1.971594E-04,1.835038E-04,1.707591E-04,1.588363E-04,1.476590E-04,1.371617E-04,1.272890E-04,1.179952E-04,1.092436E-04,1.010069E-04,9.326809E-05,8.602082E-05,7.927165E-05,7.304193E-05,6.737043E-05,6.231581E-05,5.795790E-05,5.439564E-05,5.173900E-05,5.009290E-05,4.953463E-05
    2.945243,1.098861E-02,1.154214E-02,1.332219E-02,1.675542E-02,2.283134E-02,3.378868E-02,5.512824E-02,1.026784E-01,2.347796E-01,7.600417E-01,3.975064E+00,2.227355E+01,2.988203E+01,1.074159E+01,1.717526E+00,3.846664E-01,1.339555E-01,6.117432E-02,3.277652E-02,1.945267E-02,1.238881E-02,8.306002E-03,5.789859E-03,4.160548E-03,3.063221E-03,2.300226E-03,1.755529E-03,1.357990E-03,1.062376E-03,8.390175E-04,6.679252E-04,5.353152E-04,4.314852E-04,3.494816E-04,2.842398E-04,2.320178E-04,1.900152E-04,1.561113E-04,1.286836E-04,1.064781E-04,8.851584E-05,7.402468E-05,6.238732E-05,5.310184E-05,4.575118E-05,3.998035E-05,3.548116E-05,3.198398E-05,2.925542E-05,2.709889E-05,2.535527E-05,2.390160E-05,2.264744E-05,2.152986E-05,2.050798E-05,1.955806E-05,1.866930E-05,1.784064E-05,1.707822E-05,1.639334E-05,1.580069E-05,1.531655E-05,1.495680E-05,1.473489E-05,1.465986E-05
    3.141593,6.259065E-03,6.868908E-03,8.696785E-03,1.190644E-02,1.711069E-02,2.576249E-02,4.116827E-02,7.162047E-02,1.419548E-01,3.498937E-01,1.255854E+00,6.830125E+00,2.683607E+01,2.663674E+01,6.653584E+00,1.230122E+00,3.457813E-01,1.412419E-01,7.171041E-02,4.152838E-02,2.624315E-02,1.764750E-02,1.243303E-02,9.082340E-03,6.829597E-03,5.258610E-03,4.129464E-03,3.297033E-03,2.669929E-03,2.188609E-03,1.813127E-03,1.515993E-03,1.277866E-03,1.084862E-03,9.268418E-04,7.962813E-04,6.875172E-04,5.962318E-04,5.190938E-04,4.535056E-04,3.974215E-04,3.492157E-04,3.075848E-04,2.714765E-04,2.400344E-04,2.125569E-04,1.884659E-04,1.672821E-04,1.486062E-04,1.321037E-04,1.174933E-04,1.045382E-04,9.303793E-05,8.282375E-05,7.375379E-05,6.571032E-05,5.859794E-05,5.234286E-05,4.689323E-05,4.222033E-05,3.831984E-05,3.521168E-05,3.293592E-05,3.154212E-05,3.107203E-05
    3.337942,3.120087E-03,3.386346E-03,4.199349E-03,5.655046E-03,8.036926E-03,1.197912E-02,1.885983E-02,3.191927E-02,5.993687E-02,1.323407E-01,3.844901E-01,1.741375E+00,1.097473E+01,2.999641E+01,2.202250E+01,3.868963E+00,7.365590E-01,2.267951E-01,9.852632E-02,5.224994E-02,3.134433E-02,2.042908E-02,1.413158E-02,1.022337E-02,7.659182E-03,5.901312E-03,4.652601E-03,3.739103E-03,3.054084E-03,2.529425E-03,2.120177E-03,1.795812E-03,1.535077E-03,1.322846E-03,1.148143E-03,1.002867E-03,8.809424E-04,7.777493E-04,6.897307E-04,6.141150E-04,5.487199E-04,4.918104E-04,4.419942E-04,3.981451E-04,3.593449E-04,3.248399E-04,2.940070E-04,2.663285E-04,2.413719E-04,2.187741E-04,1.982299E-04,1.794822E-04,1.623148E-04,1.465477E-04,1.320328E-04,1.186533E-04,1.063233E-04,9.499118E-05,8.464583E-05,7.532704E-05,6.714006E-05,6.027121E-05,5.499249E-05,5.162989E-05,5.046992E-05
    3.534292,9.718658E-04,1.061257E-03,1.330262E-03,1.804771E-03,2.577045E-03,3.862234E-03,6.131770E-03,1.047838E-02,1.973048E-02,4.248019E-02,1.116287E-01,4.037303E-01,2.310116E+00,1.600072E+01,3.122332E+01,1.677654E+01,2.432767E+00,4.230998E-01,1.178963E-01,4.600375E-02,2.228344E-02,1.253484E-02,7.869540E-03,5.367326E-03,3.898707E-03,2.971206E-03,2.349153E-03,1.910857E-03,1.589291E-03,1.345406E-03,1.155308E-03,1.003733E-03,8.805515E-04,7.788186E-04,6.936318E-04,6.214424E-04,5.596246E-04,5.061970E-04,4.596396E-04,4.187679E-04,3.826472E-04,3.505307E-04,3.218158E-04,2.960115E-04,2.727150E-04,2.515928E-04,2.323683E-04,2.148101E-04,1.987250E-04,1.839514E-04,1.703546E-04,1.578236E-04,1.462681E-04,1.356170E-04,1.258174E-04,1.168338E-04,1.086488E-04,1.012626E-04,9.469353E-05,8.897757E-05,8.416638E-05,8.032296E-05,7.751415E-05,7.580031E-05,7.522392E-05
    3.730641,5.023480E-03,5.182505E-03,5.678525E-03,6.575478E-03,8.005754E-03,1.022002E-02,1.369280E-02,1.936435E-02,2.925523E-02,4.825668E-02,9.041142E-02,2.075272E-01,6.742655E-01,3.579682E+00,2.127274E+01,3.030703E+01,1.166979E+01,1.810777E+00,3.831469E-01,1.271854E-01,5.607308E-02,2.924569E-02,1.698189E-02,1.061398E-02,6.996534E-03,4.800088E-03,3.396444E-03,2.462429E-03,1.820292E-03,1.366834E-03,1.039415E-03,7.985671E-04,6.186192E-04,4.824162E-04,3.782202E-04,2.978355E-04,2.354380E-04,1.868265E-04,1.489315E-04,1.194843E-04,9.678660E-05,7.954172E-05,6.672270E-05,5.746745E-05,5.100698E-05,4.663883E-05,4.374265E-05,4.181055E-05,4.046218E-05,3.943585E-05,3.856493E-05,3.775148E-05,3.694404E-05,3.612119E-05,3.528043E-05,3.443087E-05,3.358848E-05,3.277312E-05,3.200650E-05,3.131071E-05,3.070699E-05,3.021471E-05,2.985034E-05,2.962643E-05,2.955089E-05
    3.926991,2.356216E-03,2.620039E-03,3.355752E-03,4.511911E-03,6.151879E-03,8.477847E-03,1.188532E-02,1.711922E-02,2.565721E-02,4.070637E-02,7.016520E-02,1.373235E-01,3.318950E-01,1.155046E+00,6.157940E+00,2.602857E+01,2.740380E+01,7.363795E+00,1.330073E+00,3.611529E-01,1.442956E-01,7.224077E-02,4.141720E-02,2.596570E-02,1.734382E-02,1.214627E-02,8.824256E-03,6.601244E-03,5.057517E-03,3.952250E-03,3.140356E-03,2.530800E-03,2.064464E-03,1.701806E-03,1.415691E-03,1.187075E-03,1.002327E-03,8.515097E-04,7.272697E-04,6.240831E-04,5.377475E-04,4.650279E-04,4.034067E-04,3.509058E-04,3.059564E-04,2.673038E-04,2.339374E-04,2.050369E-04,1.799325E-04,1.580739E-04,1.390069E-04,1.223547E-04,1.078038E-04,9.509274E-05,8.400354E-05,7.435499E-05,6.599769E-05,5.881050E-05,5.269809E-05,4.758934E-05,4.343597E-05,4.021057E-05,3.790304E-05,3.651475E-05,3.605109E-05
