i,orig,coef
134,  1.4519896000E+00,  7.6375073963E-02
135,  1.3392565747E+00, -2.7227300467E-02
136,  1.1719325474E+00, -1.1507233962E-01
137,  9.7472490160E-01, -1.3573578957E-01
138,  7.7677754073E-01, -7.7152617218E-02
139,  6.0723604856E-01,  2.6314860802E-02
140,  4.9081284355E-01,  1.1400532551E-01
141,  4.4402748292E-01,  1.3449237058E-01
142,  4.7269448626E-01,  7.5708705026E-02
143,  5.7104112417E-01, -2.7985698767E-02
144,  7.2258946909E-01, -1.1593192803E-01
145,  9.0266841208E-01, -1.3670601452E-01
146,  1.0821732008E+00, -7.8243101008E-02
147,  1.2320001299E+00,  2.5094452865E-02
148,  1.3274812285E+00,  1.1264544217E-01
149,  1.3521437890E+00,  1.3298375620E-01
150,  1.3002223695E+00,  7.4042605474E-02
151,  1.1775408239E+00, -2.9817306662E-02
152,  1.0006300644E+00, -1.1793608519E-01
153,  7.9421585262E-01, -1.3888850887E-01
154,  5.8745906689E-01, -8.0608180846E-02
155,  4.0952081301E-01,  2.2544377334E-02
156,  2.8512753688E-01,  1.0991010354E-01
157,  2.3081129422E-01,  1.3006533474E-01
158,  2.5239754748E-01,  7.0946027002E-02
159,  3.4412293548E-01, -3.3084087864E-02
160,  4.8951731291E-01, -1.2136182697E-01
161,  6.6391576334E-01, -1.4245845446E-01
162,  8.3821814094E-01, -8.4303874091E-02
163,  9.8332377199E-01,  1.8745225239E-02
164,  1.0745661604E+00,  1.0603368668E-01
165,  1.0954725422E+00,  1.2614175578E-01
166,  1.0402759191E+00,  6.7009223296E-02
167,  9.1479712704E-01, -3.6996501972E-02
168,  7.3556264251E-01, -1.2520880679E-01
169,  5.2729242404E-01, -1.4619586391E-01
170,  3.1914023356E-01, -8.7884918172E-02
171,  1.4025880744E-01,  1.5369475497E-02
172,  1.5365033006E-02,  1.0291368049E-01
173, -3.9019713789E-02,  1.2332876628E-01
174, -1.7081700033E-02,  6.4554577656E-02
175,  7.5403008086E-02, -3.9042254408E-02
176,  2.2195066159E-01, -1.2679677422E-01
177,  3.9788192045E-01, -1.4727972315E-01
178,  5.7408147563E-01, -8.8421838578E-02
179,  7.2143283176E-01,  1.5417915234E-02
180,  8.1525309461E-01,  1.0358060398E-01
181,  8.3905260725E-01,  1.2464116122E-01
182,  7.8704706538E-01,  6.6532529650E-02
183,  6.6503966644E-01, -3.6386234985E-02
184,  4.8953899561E-01, -1.2345831234E-01
185,  2.8524694506E-01, -1.4326300833E-01
186,  8.1299111374E-02, -8.3739907869E-02
187, -9.3169959670E-02,  2.0743052987E-02
188, -2.1346152559E-01,  1.0951801112E-01
189, -2.6307224132E-01,  1.3115118644E-01
190, -2.3620622584E-01,  7.3567195793E-02
191, -1.3865715661E-01, -2.8882674218E-02
192,  1.3073904796E-02, -1.1554865505E-01
193,  1.9429065879E-01, -1.3501623889E-01
194,  3.7586124018E-01, -7.5230199601E-02
195,  5.2865304734E-01,  2.9437446707E-02
196,  6.2796757203E-01,  1.1831595438E-01
197,  6.5730007376E-01,  1.3996992119E-01
198,  6.1085172926E-01,  8.2323637751E-02
199,  4.9441181151E-01, -2.0270632461E-02
200,  3.2447560158E-01, -1.0716086237E-01
201,  1.2573232959E-01, -1.2692905337E-01
202, -7.2694409970E-02, -6.7515332249E-02
203, -2.4168139972E-01,  3.6713987808E-02
204, -3.5654054169E-01,  1.2509479776E-01
205, -4.0077844500E-01,  1.4619912524E-01
206, -3.6860848955E-01,  8.7959329083E-02
207, -2.6583292081E-01, -1.5263786061E-02
208, -1.0896067901E-01, -1.0280935023E-01
209,  7.7304740443E-02, -1.2325039318E-01
210,  2.6382495011E-01, -6.4518111602E-02
211,  4.2146148777E-01,  3.9029906502E-02
212,  5.2551063196E-01,  1.2673791943E-01
213,  5.5946305997E-01,  1.4718582541E-01
214,  5.1751597887E-01,  8.8313234830E-02
215,  4.0545528440E-01, -1.5512518293E-02
216,  2.3977345110E-01, -1.0362483956E-01
217,  4.5157450325E-02, -1.2459190031E-01
218, -1.4927085873E-01, -6.6340944074E-02
219, -3.1438949549E-01,  3.6773471321E-02
220, -4.2551112624E-01,  1.2409771445E-01
221, -4.6614267814E-01,  1.4421289621E-01
222, -4.3049742982E-01,  8.5058981983E-02
223, -3.2437713310E-01, -1.8997141730E-02
224, -1.6428986932E-01, -1.0729006244E-01
225,  2.5062063263E-02, -1.2838978936E-01
226,  2.1454178579E-01, -7.0225973875E-02
227,  3.7501262967E-01,  3.2843939374E-02
228,  4.8177292615E-01,  1.2016304642E-01
229,  5.1831563889E-01,  1.4030889311E-01
230,  4.7884047027E-01,  8.1217678169E-02
231,  3.6913599639E-01, -2.2747593651E-02
232,  2.0569753394E-01, -1.1092542596E-01
233,  1.3215036089E-02, -1.3188970509E-01
234, -1.7918653785E-01, -7.3573855432E-02
235, -3.4238200916E-01,  2.9661065502E-02
236, -4.5168076718E-01,  1.1715474784E-01
237, -4.9058640163E-01,  1.3748157579E-01
