x,u
    0.935323,  7.6789988876E-01
    0.940299,  7.8754518399E-01
    0.945274,  8.0642098080E-01
    0.950249,  8.2450883593E-01
    0.955224,  8.4179107600E-01
    0.960199,  8.5825081481E-01
    0.965174,  8.7387196980E-01
    0.970149,  8.8863927776E-01
    0.975124,  9.0253830980E-01
    0.980100,  9.1555548537E-01
    0.985075,  9.2767808560E-01
    0.990050,  9.3889426567E-01
    0.995025,  9.4919306643E-01
