x,input,output
    1.000000,  7.7880078307E-01,  7.6910397640E-01
    1.100000,  7.3896848826E-01,  7.3165676174E-01
    1.200000,  6.9767632607E-01,  6.9331777154E-01
    1.300000,  6.5540625434E-01,  6.6071352893E-01
    1.400000,  6.1262640332E-01,  6.5319799365E-01
    1.500000,  5.6978506072E-01,  6.6694280806E-01
    1.600000,  5.2749370162E-01,  6.5941167698E-01
    1.700000,  4.9220229308E-01,  6.2672349163E-01
    1.800000,  5.2605923616E-01,  5.8812870705E-01
    1.900000,  7.6947290089E-01,  5.5010350541E-01
    2.000000,  9.6787944117E-01,  5.1346597994E-01
    2.100000,  6.9595834117E-01,  4.7844184107E-01
    2.200000,  3.7939844937E-01,  4.4518070387E-01
    2.300000,  2.7313369574E-01,  4.1324035186E-01
    2.400000,  2.3712903626E-01,  3.7652139126E-01
    2.500000,  2.0961362314E-01,  3.1615105704E-01
    2.600000,  1.8451953313E-01,  2.3638851163E-01
    2.700000,  1.6162119248E-01,  1.8014727520E-01
    2.800000,  1.4085842092E-01,  1.5163016828E-01
    2.900000,  1.2215066954E-01,  1.3185221527E-01
    3.000000,  1.0539922456E-01,  1.1454690492E-01
    3.100000,  9.0491441664E-02,  9.9051475097E-02
    3.200000,  7.7304740443E-02,  8.5243404448E-02
    3.300000,  6.5710273228E-02,  7.3009827574E-02
    3.400000,  5.5576212611E-02,  6.2233145197E-02
    3.500000,  4.6770622384E-02,  5.2793596956E-02
    3.600000,  3.9163895099E-02,  4.4571679696E-02
    3.700000,  3.2630755993E-02,  3.7450201211E-02
    3.800000,  2.7051846866E-02,  3.1315969792E-02
    3.900000,  2.2314914777E-02,  2.6061131685E-02
    4.000000,  1.8315638889E-02,  2.1584177396E-02
    4.100000,  1.4958134701E-02,  1.7790644475E-02
    4.200000,  1.2155178330E-02,  1.4593549087E-02
    4.300000,  9.8281948354E-03,  1.1913581415E-02
    4.400000,  7.9070540516E-03,  9.6791010668E-03
    4.500000,  6.3297154275E-03,  7.8259682813E-03
    4.600000,  5.0417602597E-03,  6.2972452268E-03
    4.700000,  3.9958458301E-03,  5.0427992698E-03
    4.800000,  3.1511115984E-03,  4.0188370325E-03
    4.900000,  2.4725630359E-03,  3.1873945978E-03
    5.000000,  1.9304541362E-03,  2.5158055642E-03
    5.100000,  1.4996852893E-03,  1.9761649836E-03
    5.200000,  1.1592291739E-03,  1.5448036661E-03
    5.300000,  8.9159372000E-04,  1.2017840322E-03
    5.400000,  6.8232805276E-04,  9.3042569293E-04
    5.500000,  5.1957468215E-04,  7.1686630822E-04
    5.600000,  3.9366904066E-04,  5.4966101914E-04
    5.700000,  2.9678576779E-04,  4.1942188596E-04
    5.800000,  2.2262985692E-04,  3.1849726628E-04
    5.900000,  1.6616986661E-04,  2.4068991443E-04
    6.000000,  1.2340980409E-04,  1.8101173693E-04
    6.100000,  9.1195956362E-05,  1.3547256058E-04
    6.200000,  6.7054824303E-05,  1.0089991708E-04
    6.300000,  4.9058357456E-05,  7.4786680266E-05
    6.400000,  3.5712849642E-05,  5.5163370546E-05
    6.500000,  2.5868100223E-05,  4.0492029708E-05
    6.600000,  1.8643742332E-05,  2.9578738039E-05
    6.700000,  1.3369962121E-05,  2.1502067024E-05
