iter,energy
   199,  6.2665080243E-01
   200,  6.2665077110E-01
   201,  6.2665073977E-01
   202,  6.2665070844E-01
   203,  6.2665067711E-01
   204,  6.2665064578E-01
   205,  6.2665061445E-01
   206,  6.2665058313E-01
   207,  6.2665055180E-01
   208,  6.2665052047E-01
   209,  6.2665048914E-01
   210,  6.2665045781E-01
   211,  6.2665042648E-01
   212,  6.2665039515E-01
   213,  6.2665036382E-01
   214,  6.2665033249E-01
   215,  6.2665030116E-01
   216,  6.2665026983E-01
   217,  6.2665023850E-01
   218,  6.2665020717E-01
   219,  6.2665017585E-01
   220,  6.2665014452E-01
   221,  6.2665011319E-01
   222,  6.2665008186E-01
   223,  6.2665005053E-01
   224,  6.2665001920E-01
   225,  6.2664998787E-01
   226,  6.2664995654E-01
   227,  6.2664992521E-01
   228,  6.2664989388E-01
   229,  6.2664986256E-01
   230,  6.2664983123E-01
   231,  6.2664979990E-01
   232,  6.2664976857E-01
   233,  6.2664973724E-01
   234,  6.2664970591E-01
   235,  6.2664967458E-01
   236,  6.2664964325E-01
   237,  6.2664961193E-01
   238,  6.2664958060E-01
   239,  6.2664954927E-01
   240,  6.2664951794E-01
   241,  6.2664948661E-01
   242,  6.2664945528E-01
   243,  6.2664942395E-01
   244,  6.2664939262E-01
   245,  6.2664936130E-01
   246,  6.2664932997E-01
   247,  6.2664929864E-01
   248,  6.2664926731E-01
   249,  6.2664923598E-01
   250,  6.2664920465E-01
   251,  6.2664917332E-01
   252,  6.2664914200E-01
   253,  6.2664911067E-01
   254,  6.2664907934E-01
   255,  6.2664904801E-01
   256,  6.2664901668E-01
   257,  6.2664898535E-01
   258,  6.2664895403E-01
   259,  6.2664892270E-01
   260,  6.2664889137E-01
   261,  6.2664886004E-01
   262,  6.2664882871E-01
   263,  6.2664879738E-01
   264,  6.2664876606E-01
   265,  6.2664873473E-01
   266,  6.2664870340E-01
   267,  6.2664867207E-01
   268,  6.2664864074E-01
   269,  6.2664860941E-01
   270,  6.2664857809E-01
   271,  6.2664854676E-01
   272,  6.2664851543E-01
   273,  6.2664848410E-01
   274,  6.2664845277E-01
   275,  6.2664842144E-01
   276,  6.2664839012E-01
   277,  6.2664835879E-01
   278,  6.2664832746E-01
   279,  6.2664829613E-01
   280,  6.2664826480E-01
   281,  6.2664823348E-01
   282,  6.2664820215E-01
   283,  6.2664817082E-01
   284,  6.2664813949E-01
   285,  6.2664810816E-01
   286,  6.2664807684E-01
   287,  6.2664804551E-01
   288,  6.2664801418E-01
   289,  6.2664798285E-01
   290,  6.2664795153E-01
   291,  6.2664792020E-01
   292,  6.2664788887E-01
   293,  6.2664785754E-01
   294,  6.2664782621E-01
   295,  6.2664779489E-01
   296,  6.2664776356E-01
   297,  6.2664773223E-01
   298,  6.2664770090E-01
   299,  6.2664766958E-01
   300,  6.2664763825E-01
   301,  6.2664760692E-01
   302,  6.2664757559E-01
   303,  6.2664754426E-01
   304,  6.2664751294E-01
   305,  6.2664748161E-01
   306,  6.2664745028E-01
   307,  6.2664741895E-01
   308,  6.2664738763E-01
   309,  6.2664735630E-01
   310,  6.2664732497E-01
   311,  6.2664729364E-01
   312,  6.2664726232E-01
   313,  6.2664723099E-01
   314,  6.2664719966E-01
   315,  6.2664716833E-01
   316,  6.2664713701E-01
   317,  6.2664710568E-01
   318,  6.2664707435E-01
   319,  6.2664704302E-01
   320,  6.2664701170E-01
   321,  6.2664698037E-01
   322,  6.2664694904E-01
   323,  6.2664691772E-01
   324,  6.2664688639E-01
   325,  6.2664685506E-01
   326,  6.2664682373E-01
   327,  6.2664679241E-01
   328,  6.2664676108E-01
   329,  6.2664672975E-01
   330,  6.2664669843E-01
   331,  6.2664666710E-01
   332,  6.2664663577E-01
   333,  6.2664660444E-01
   334,  6.2664657312E-01
   335,  6.2664654179E-01
   336,  6.2664651046E-01
   337,  6.2664647914E-01
   338,  6.2664644781E-01
   339,  6.2664641648E-01
   340,  6.2664638515E-01
   341,  6.2664635383E-01
   342,  6.2664632250E-01
   343,  6.2664629117E-01
   344,  6.2664625985E-01
   345,  6.2664622852E-01
   346,  6.2664619719E-01
   347,  6.2664616587E-01
   348,  6.2664613454E-01
   349,  6.2664610321E-01
   350,  6.2664607189E-01
   351,  6.2664604056E-01
   352,  6.2664600923E-01
   353,  6.2664597791E-01
   354,  6.2664594658E-01
   355,  6.2664591525E-01
   356,  6.2664588392E-01
   357,  6.2664585260E-01
   358,  6.2664582127E-01
