x,y,T
-0.49000,-0.30000,  7.8041302834E-01
-0.49000,-0.29000,  7.7041302834E-01
-0.49000,-0.28000,  7.6041302834E-01
-0.49000,-0.27000,  7.5041302834E-01
-0.49000,-0.26000,  7.4041302834E-01
-0.49000,-0.25000,  7.3041302834E-01
-0.49000,-0.24000,  7.2041302834E-01
-0.49000,-0.23000,  7.1041302834E-01
-0.49000,-0.22000,  7.0041302834E-01
-0.49000,-0.21000,  6.9041302834E-01
-0.49000,-0.20000,  6.8041302834E-01
-0.49000,-0.19000,  6.7041302834E-01
-0.49000,-0.18000,  6.6041302834E-01
-0.49000,-0.17000,  6.5041302834E-01
-0.49000,-0.16000,  6.4041302834E-01
-0.49000,-0.15000,  6.3041302834E-01
-0.49000,-0.14000,  6.2041302834E-01
-0.49000,-0.13000,  6.1041302834E-01
-0.49000,-0.12000,  6.0041302834E-01
-0.49000,-0.11000,  5.9041302834E-01
-0.49000,-0.10000,  5.8041302834E-01
-0.49000,-0.09000,  5.7041302834E-01
-0.49000,-0.08000,  5.6041302834E-01
-0.49000,-0.07000,  5.5041302834E-01
-0.49000,-0.06000,  5.4041302834E-01
-0.49000,-0.05000,  5.3041302834E-01
-0.49000,-0.04000,  5.2041302834E-01
-0.49000,-0.03000,  5.1041302834E-01
-0.49000,-0.02000,  5.0041302834E-01
-0.49000,-0.01000,  4.9041302834E-01
-0.49000, 0.00000,  4.9000000000E-01
-0.49000, 0.01000,  4.9041302834E-01
-0.49000, 0.02000,  5.0041302834E-01
-0.49000, 0.03000,  5.1041302834E-01
-0.49000, 0.04000,  5.2041302834E-01
-0.49000, 0.05000,  5.3041302834E-01
-0.49000, 0.06000,  5.4041302834E-01
-0.49000, 0.07000,  5.5041302834E-01
-0.49000, 0.08000,  5.6041302834E-01
-0.49000, 0.09000,  5.7041302834E-01
-0.49000, 0.10000,  5.8041302834E-01
-0.49000, 0.11000,  5.9041302834E-01
-0.49000, 0.12000,  6.0041302834E-01
-0.49000, 0.13000,  6.1041302834E-01
-0.49000, 0.14000,  6.2041302834E-01
-0.49000, 0.15000,  6.3041302834E-01
-0.49000, 0.16000,  6.4041302834E-01
-0.49000, 0.17000,  6.5041302834E-01
-0.49000, 0.18000,  6.6041302834E-01
-0.49000, 0.19000,  6.7041302834E-01
-0.49000, 0.20000,  6.8041302834E-01
-0.49000, 0.21000,  6.9041302834E-01
-0.49000, 0.22000,  7.0041302834E-01
-0.49000, 0.23000,  7.1041302834E-01
-0.49000, 0.24000,  7.2041302834E-01
-0.49000, 0.25000,  7.3041302834E-01
-0.49000, 0.26000,  7.4041302834E-01
-0.49000, 0.27000,  7.5041302834E-01
-0.49000, 0.28000,  7.6041302834E-01
-0.49000, 0.29000,  7.7041302834E-01
-0.49000, 0.30000,  7.8041302834E-01
-0.49000, 0.31000,  7.9041302834E-01
-0.49000, 0.32000,  8.0041302834E-01
-0.49000, 0.33000,  8.1041302834E-01
-0.49000, 0.34000,  8.2041302834E-01
-0.49000, 0.35000,  8.3041302834E-01
-0.49000, 0.36000,  8.4041302834E-01
-0.49000, 0.37000,  8.5041302834E-01
-0.49000, 0.38000,  8.6041302834E-01
-0.49000, 0.39000,  8.7041302834E-01
-0.49000, 0.40000,  8.8041302834E-01
-0.49000, 0.41000,  8.9041302834E-01
-0.49000, 0.42000,  9.0041302834E-01
-0.49000, 0.43000,  9.1041302834E-01
-0.49000, 0.44000,  9.2041302834E-01
