i,orig,reconstructed,abs_err
109, -2.8236126515E-01,  3.5214378897E-01,  6.3450505411E-01
110,  2.3576050529E-01,  4.0360169597E-01,  1.6784119068E-01
111,  3.3658877085E-01,  5.2489334876E-01,  1.8830457791E-01
112, -1.8684760767E-01,  6.9948976845E-01,  8.8633737612E-01
113, -2.9323436021E-01,  9.0266841208E-01,  1.1959027723E+00
114,  2.2463219496E-01,  1.1052729015E+00,  8.8064070649E-01
115,  3.2562993052E-01,  1.2781479054E+00,  9.5251797483E-01
116, -1.9729666736E-01,  1.3965740188E+00,  1.5938706861E+00
117, -3.0292121459E-01,  1.4440274829E+00,  1.7469486975E+00
118,  2.1587515167E-01,  1.4146923761E+00,  1.1988172244E+00
119,  3.1789360666E-01,  1.3143428297E+00,  9.9644922308E-01
120, -2.0398655277E-01,  1.1594609731E+00,  1.3634475259E+00
121, -3.0859085339E-01,  9.7472490160E-01,  1.2833157550E+00
122,  2.1116128942E-01,  7.8924911502E-01,  5.7808782560E-01
123,  3.1404563729E-01,  6.3214979353E-01,  3.1810415624E-01
124, -2.0707261704E-01,  5.2811006749E-01,  7.3518268453E-01
125, -3.1102380769E-01,  4.9362043638E-01,  8.0464424407E-01
126,  2.0927495932E-01,  5.3446670598E-01,  3.2519174665E-01
127,  3.1260675506E-01,  6.4484788872E-01,  3.3224113366E-01
128, -2.0815281036E-01,  8.0825836381E-01,  1.0164111742E+00
129, -1.3540722575E-01,  1.0000000000E+00,  1.1354072258E+00
130, -7.6771135640E-02,  1.1909417962E+00,  1.2677129318E+00
131,  2.6756050752E-02,  1.3519546699E+00,  1.3251986192E+00
132,  1.1451355610E-01,  1.4583462385E+00,  1.3438326824E+00
133,  1.3507549735E-01,  1.4936204364E+00,  1.3585449390E+00
134,  7.6375073963E-02,  1.4519896000E+00,  1.3756145260E+00
135, -2.7227300467E-02,  1.3392565747E+00,  1.3664838752E+00
136, -1.1507233962E-01,  1.1719325474E+00,  1.2870048870E+00
137, -1.3573578957E-01,  9.7472490160E-01,  1.1104606912E+00
138, -7.7152617218E-02,  7.7677754073E-01,  8.5393015795E-01
139,  2.6314860802E-02,  6.0723604856E-01,  5.8092118776E-01
140,  1.1400532551E-01,  4.9081284355E-01,  3.7680751804E-01
141,  1.3449237058E-01,  4.4402748292E-01,  3.0953511234E-01
142,  7.5708705026E-02,  4.7269448626E-01,  3.9698578124E-01
143, -2.7985698767E-02,  5.7104112417E-01,  5.9902682293E-01
144, -1.1593192803E-01,  7.2258946909E-01,  8.3852139712E-01
145, -1.3670601452E-01,  9.0266841208E-01,  1.0393744266E+00
146, -7.8243101008E-02,  1.0821732008E+00,  1.1604163018E+00
147,  2.5094452865E-02,  1.2320001299E+00,  1.2069056771E+00
148,  1.1264544217E-01,  1.3274812285E+00,  1.2148357863E+00
149,  1.3298375620E-01,  1.3521437890E+00,  1.2191600328E+00
150,  7.4042605474E-02,  1.3002223695E+00,  1.2261797640E+00
151, -2.9817306662E-02,  1.1775408239E+00,  1.2073581306E+00
152, -1.1793608519E-01,  1.0006300644E+00,  1.1185661495E+00
153, -1.3888850887E-01,  7.9421585262E-01,  9.3310436149E-01
154, -8.0608180846E-02,  5.8745906689E-01,  6.6806724773E-01
155,  2.2544377334E-02,  4.0952081301E-01,  3.8697643567E-01
156,  1.0991010354E-01,  2.8512753688E-01,  1.7521743334E-01
157,  1.3006533474E-01,  2.3081129422E-01,  1.0074595948E-01
158,  7.0946027002E-02,  2.5239754748E-01,  1.8145152048E-01
