eps,integral_phi,integral_product,peak_product
  5.0000000000E-01,  1.0000000000E+00,  5.6418958355E-01,  6.3660958653E-01
  2.0000000000E-01,  1.0000000000E+00,  1.4104739589E+00,  3.9788099158E+00
  1.0000000000E-01,  1.0000000000E+00,  2.8209479177E+00,  1.5915239663E+01
  5.0000000000E-02,  1.0000000000E+00,  5.6418958355E+00,  6.3660958653E+01
  2.0000000000E-02,  1.0000000000E+00,  1.4104739589E+01,  3.9788099158E+02
  1.0000000000E-02,  1.0000000000E+00,  2.8209479177E+01,  1.5915239663E+03
