x,u
    0.935323,  7.5574503657E-01
    0.940299,  7.7509503653E-01
    0.945274,  7.9368770292E-01
    0.950249,  8.1150486912E-01
    0.955224,  8.2852912625E-01
    0.960199,  8.4474384017E-01
    0.965174,  8.6013316771E-01
    0.970149,  8.7468207222E-01
    0.975124,  8.8837633817E-01
    0.980100,  9.0120258510E-01
    0.985075,  9.1314828068E-01
    0.990050,  9.2420175297E-01
    0.995025,  9.3435220176E-01
