alpha,h,Ninit,analytic_dp,dp_auto,qp_adaptive,rel_err_dp,rel_err_qp,last_method,last_relerr
1.000000E-01,1.000000E-02,400,  1.0944780362E+00,  1.0944780362E+00,  1.0934392958E+00,  1.4380542332E-11,  9.4907371870E-04,GL_auto_qpcheck,9.499753E-04
1.000000E-01,1.000000E-03,400,  1.0944780362E+00,  1.0944780362E+00,  1.0943740709E+00,  3.1648838281E-14,  9.4990737462E-05,GL_auto_qpcheck,9.499976E-05
