idx,x,y,z,K_approx,K_exact,abs_err
73,************,7.503926E-03,6.390977E-01,1.186913E+00,1.000000E+00,1.869134E-01
74,5.752492E-01,5.167440E-01,6.340852E-01,1.187282E+00,1.000000E+00,1.872823E-01
75,************,************,6.290727E-01,1.187694E+00,1.000000E+00,1.876941E-01
76,************,6.247097E-01,6.240602E-01,1.188144E+00,1.000000E+00,1.881437E-01
77,7.719767E-01,************,6.190476E-01,1.188627E+00,1.000000E+00,1.886269E-01
78,************,************,6.140351E-01,1.188493E+00,1.000000E+00,1.884934E-01
79,2.133691E-01,7.639143E-01,6.090226E-01,1.188765E+00,1.000000E+00,1.887648E-01
80,3.604142E-01,************,6.040100E-01,1.188646E+00,1.000000E+00,1.886460E-01
81,************,2.820138E-01,5.989975E-01,1.188610E+00,1.000000E+00,1.886096E-01
82,7.465733E-01,2.996834E-01,5.939850E-01,1.187762E+00,1.000000E+00,1.877623E-01
83,************,************,5.889724E-01,1.187901E+00,1.000000E+00,1.879008E-01
84,************,7.769072E-01,5.839599E-01,1.188093E+00,1.000000E+00,1.880931E-01
85,7.014406E-01,************,5.789474E-01,1.181092E+00,1.000000E+00,1.810920E-01
86,************,************,5.739348E-01,1.181205E+00,1.000000E+00,1.812051E-01
87,4.795227E-01,6.681208E-01,5.689223E-01,1.181399E+00,1.000000E+00,1.813990E-01
88,9.813334E-02,************,5.639098E-01,1.181663E+00,1.000000E+00,1.816626E-01
89,************,5.405601E-01,5.588972E-01,1.184201E+00,1.000000E+00,1.842007E-01
90,8.321784E-01,2.628310E-02,5.538847E-01,1.184288E+00,1.000000E+00,1.842882E-01
91,************,************,5.488722E-01,1.184424E+00,1.000000E+00,1.844243E-01
92,4.693955E-02,8.378624E-01,5.438596E-01,1.184604E+00,1.000000E+00,1.846036E-01
93,5.333997E-01,************,5.388471E-01,1.184822E+00,1.000000E+00,1.848216E-01
94,************,1.209276E-01,5.338346E-01,1.185074E+00,1.000000E+00,1.850743E-01
95,7.013855E-01,4.779180E-01,5.288221E-01,1.185358E+00,1.000000E+00,1.853582E-01
96,************,************,5.238095E-01,1.185670E+00,1.000000E+00,1.856702E-01
97,************,7.458607E-01,5.187970E-01,1.186007E+00,1.000000E+00,1.860075E-01
98,8.147506E-01,************,5.137845E-01,1.186368E+00,1.000000E+00,1.863678E-01
99,************,************,5.087719E-01,1.186749E+00,1.000000E+00,1.867489E-01
100,3.412553E-01,7.935813E-01,5.037594E-01,1.187149E+00,1.000000E+00,1.871488E-01
101,2.853815E-01,************,4.987469E-01,1.183606E+00,1.000000E+00,1.836057E-01
102,************,4.120616E-01,4.937343E-01,1.183360E+00,1.000000E+00,1.833603E-01
103,8.457525E-01,2.141350E-01,4.887218E-01,1.183165E+00,1.000000E+00,1.831646E-01
104,************,************,4.837093E-01,1.183014E+00,1.000000E+00,1.830138E-01
105,************,8.667045E-01,4.786967E-01,1.182904E+00,1.000000E+00,1.829039E-01
106,6.910034E-01,************,4.736842E-01,1.182831E+00,1.000000E+00,1.828312E-01
107,************,************,4.686717E-01,1.185605E+00,1.000000E+00,1.856053E-01
108,6.079904E-01,6.444904E-01,4.636591E-01,1.185080E+00,1.000000E+00,1.850797E-01
109,************,************,4.586466E-01,1.185002E+00,1.000000E+00,1.850017E-01
110,************,6.658737E-01,4.536341E-01,1.184947E+00,1.000000E+00,1.849473E-01
111,8.890610E-01,************,4.486216E-01,1.184915E+00,1.000000E+00,1.849147E-01
112,************,************,4.436090E-01,1.184902E+00,1.000000E+00,1.849021E-01
113,1.694684E-01,8.825608E-01,4.385965E-01,1.184908E+00,1.000000E+00,1.849079E-01
114,4.724741E-01,************,4.335840E-01,1.184931E+00,1.000000E+00,1.849307E-01
115,************,2.472984E-01,4.285714E-01,1.184969E+00,1.000000E+00,1.849693E-01
116,8.099357E-01,4.057117E-01,4.235589E-01,1.185023E+00,1.000000E+00,1.850225E-01
117,************,************,4.185464E-01,1.185089E+00,1.000000E+00,1.850892E-01
118,************,8.466001E-01,4.135338E-01,1.185168E+00,1.000000E+00,1.851684E-01
119,8.209578E-01,************,4.085213E-01,1.185259E+00,1.000000E+00,1.852592E-01
120,************,************,4.035088E-01,1.185361E+00,1.000000E+00,1.853608E-01
121,4.714398E-01,7.867308E-01,3.984962E-01,1.185472E+00,1.000000E+00,1.854723E-01
122,1.842372E-01,************,3.934837E-01,1.185593E+00,1.000000E+00,1.855932E-01
123,************,5.409341E-01,3.884712E-01,1.185723E+00,1.000000E+00,1.857227E-01
124,9.175388E-01,1.052708E-01,3.834586E-01,1.185860E+00,1.000000E+00,1.858602E-01
125,************,************,3.784461E-01,1.186005E+00,1.000000E+00,1.860053E-01
126,************,9.273264E-01,3.734336E-01,1.186157E+00,1.000000E+00,1.861572E-01
127,6.460490E-01,************,3.684211E-01,1.186316E+00,1.000000E+00,1.863156E-01
128,************,5.664798E-02,3.634085E-01,1.186480E+00,1.000000E+00,1.864801E-01
129,7.254563E-01,5.875930E-01,3.583960E-01,1.184550E+00,1.000000E+00,1.845499E-01
130,************,************,3.533835E-01,1.184308E+00,1.000000E+00,1.843079E-01
131,************,7.771893E-01,3.483709E-01,1.184090E+00,1.000000E+00,1.840896E-01
