x f df_spec df_fd df_exact err_spec err_fd
  5.69413668  -0.98078528 -5.85270966E-01 -5.84742265E-01 -5.85270966E-01  4.56079619E-13  5.28701226E-04
  5.71868038  -0.99247953 -3.67232026E-01 -3.66900289E-01 -3.67232026E-01  1.33548728E-12  3.31736979E-04
  5.74322407  -0.99879546 -1.47203023E-01 -1.47070048E-01 -1.47203023E-01  5.80896442E-13  1.32975021E-04
  5.76776776  -0.99969882  7.36236856E-02  7.35571780E-02  7.36236856E-02  1.07004683E-12  6.65075411E-05
  5.79231146  -0.99518473  2.94051421E-01  2.93785791E-01  2.94051421E-01  1.39543932E-12  2.65629693E-04
  5.81685515  -0.98527764  5.12885666E-01  5.12422354E-01  5.12885666E-01  1.11255449E-12  4.63312374E-04
  5.84139884  -0.97003125  7.28940540E-01  7.28282055E-01  7.28940540E-01  1.64945835E-12  6.58484325E-04
  5.86594253  -0.94952818  9.41045221E-01  9.40195133E-01  9.41045221E-01  3.14004378E-12  8.50087893E-04
  5.89048623  -0.92387953  1.14805030E+00  1.14701321E+00  1.14805030E+00  9.49462731E-13  1.03708476E-03
  5.91502992  -0.89322430  1.34883399E+00  1.34761553E+00  1.34883399E+00  1.07758247E-12  1.21846158E-03
  5.93957361  -0.85772861  1.54230823E+00  1.54091500E+00  1.54230823E+00  2.27751151E-12  1.39323544E-03
  5.96411730  -0.81758481  1.72742457E+00  1.72586412E+00  1.72742457E+00  8.63753513E-14  1.56045925E-03
  5.98866100  -0.77301045  1.90317985E+00  1.90146063E+00  1.90317985E+00  4.01012556E-13  1.71922679E-03
  6.01320469  -0.72424708  2.06862163E+00  2.06675296E+00  2.06862163E+00  2.55795385E-13  1.86867769E-03
  6.03774838  -0.67155895  2.22285338E+00  2.22084537E+00  2.22285338E+00  1.17239551E-12  2.00800206E-03
  6.06229207  -0.61523159  2.36503928E+00  2.36290284E+00  2.36503928E+00  6.14175377E-13  2.13644490E-03
  6.08683577  -0.55557023  2.49440884E+00  2.49215553E+00  2.49440884E+00  7.30082661E-13  2.25331015E-03
  6.11137946  -0.49289819  2.61026097E+00  2.60790301E+00  2.61026097E+00  9.11271059E-13  2.35796453E-03
  6.13592315  -0.42755509  2.71196788E+00  2.70951804E+00  2.71196788E+00  2.12274642E-13  2.44984089E-03
  6.16046684  -0.35989504  2.79897840E+00  2.79644996E+00  2.79897840E+00  7.19424520E-14  2.52844135E-03
  6.18501054  -0.29028468  2.87082101E+00  2.86822767E+00  2.87082101E+00  8.61533067E-13  2.59333996E-03
  6.20955423  -0.21910124  2.92710639E+00  2.92446221E+00  2.92710639E+00  1.46549439E-13  2.64418505E-03
  6.23409792  -0.14673047  2.96752953E+00  2.96484883E+00  2.96752953E+00  1.58539848E-13  2.68070106E-03
  6.25864161  -0.07356456  2.99187137E+00  2.98916868E+00  2.99187137E+00  2.49578136E-13  2.70269013E-03
