x f df_spec df_fd df_exact err_spec err_fd
  1.30081571  -0.68954054 -2.17274125E+00 -2.17077852E+00 -2.17274125E+00  6.17284002E-14  1.96273355E-03
  1.32535940  -0.74095113 -2.01467686E+00 -2.01285692E+00 -2.01467686E+00  1.54098956E-13  1.81994698E-03
  1.34990309  -0.78834643 -1.84569477E+00 -1.84402747E+00 -1.84569477E+00  5.51114709E-13  1.66729796E-03
  1.37444679  -0.83146961 -1.66671070E+00 -1.66520509E+00 -1.66671070E+00  2.53108645E-12  1.50561371E-03
  1.39899048  -0.87008699 -1.47869458E+00 -1.47735881E+00 -1.47869458E+00  3.00670600E-12  1.33577041E-03
  1.42353417  -0.90398929 -1.28266528E+00 -1.28150659E+00 -1.28266528E+00  1.54365409E-12  1.15868845E-03
  1.44807786  -0.93299280 -1.07968511E+00 -1.07870978E+00 -1.07968511E+00  5.53113111E-13  9.75327454E-04
  1.47262156  -0.95694034 -8.70854032E-01 -8.70067351E-01 -8.70854032E-01  1.06292752E-12  7.86681078E-04
  1.49716525  -0.97570213 -6.57303720E-01 -6.56709949E-01 -6.57303720E-01  1.67832415E-12  5.93771608E-04
  1.52170894  -0.98917651 -4.40191423E-01 -4.39793779E-01 -4.40191423E-01  1.70174985E-12  3.97644439E-04
  1.54625263  -0.99729046 -2.20693691E-01 -2.20494328E-01 -2.20693691E-01  1.41117673E-12  1.99362401E-04
  1.57079633  -1.00000000  5.55484684E-13  0.00000000E+00 -5.51091060E-16  5.56035775E-13  5.51091060E-16
  1.59534002  -0.99729046  2.20693691E-01  2.20494328E-01  2.20693691E-01  1.41425760E-12  1.99362401E-04
  1.61988371  -0.98917651  4.40191423E-01  4.39793779E-01  4.40191423E-01  1.14058762E-12  3.97644439E-04
  1.64442740  -0.97570213  6.57303720E-01  6.56709949E-01  6.57303720E-01  1.39999123E-13  5.93771608E-04
  1.66897110  -0.95694034  8.70854032E-01  8.70067351E-01  8.70854032E-01  1.08379972E-12  7.86681078E-04
  1.69351479  -0.93299280  1.07968511E+00  1.07870978E+00  1.07968511E+00  6.72795153E-13  9.75327454E-04
  1.71805848  -0.90398929  1.28266528E+00  1.28150659E+00  1.28266528E+00  3.23074900E-13  1.15868845E-03
  1.74260218  -0.87008699  1.47869458E+00  1.47735881E+00  1.47869458E+00  9.17044218E-14  1.33577041E-03
  1.76714587  -0.83146961  1.66671070E+00  1.66520509E+00  1.66671070E+00  6.77236045E-14  1.50561371E-03
  1.79168956  -0.78834643  1.84569477E+00  1.84402747E+00  1.84569477E+00  7.47180096E-13  1.66729796E-03
  1.81623325  -0.74095113  2.01467686E+00  2.01285692E+00  2.01467686E+00  7.88258347E-13  1.81994698E-03
  1.84077695  -0.68954054  2.17274125E+00  2.17077852E+00  2.17274125E+00  1.34425804E-12  1.96273355E-03
  1.86532064  -0.63439328  2.31903136E+00  2.31693648E+00  2.31903136E+00  3.01314529E-12  2.09488390E-03
  1.88986433  -0.57580819  2.45275444E+00  2.45053876E+00  2.45275444E+00  2.44160248E-12  2.21568189E-03
  1.91440802  -0.51410274  2.57318583E+00  2.57086136E+00  2.57318583E+00  1.45172763E-12  2.32447291E-03
  1.93895172  -0.44961133  2.67967290E+00  2.67725224E+00  2.67967290E+00  1.44195766E-12  2.42066740E-03
  1.96349541  -0.38268343  2.77163860E+00  2.76913485E+00  2.77163860E+00  1.56719082E-12  2.50374409E-03
  1.98803910  -0.31368174  2.84858454E+00  2.84601129E+00  2.84858454E+00  1.53654867E-13  2.57325278E-03
  2.01258279  -0.24298018  2.91009376E+00  2.90746494E+00  2.91009376E+00  1.22613031E-12  2.62881678E-03
  2.03712649  -0.17096189  2.95583293E+00  2.95316279E+00  2.95583293E+00  2.34123831E-12  2.67013500E-03
  2.06167018  -0.09801714  2.98555418E+00  2.98285720E+00  2.98555418E+00  3.57491814E-13  2.69698353E-03
  2.08621387  -0.02454123  2.99909646E+00  2.99638724E+00  2.99909646E+00  2.24265051E-13  2.70921687E-03
  2.11075756   0.04906767  2.99638637E+00  2.99367960E+00  2.99638637E+00  5.10258502E-13  2.70676873E-03
  2.13530126   0.12241068  2.97743860E+00  2.97474895E+00  2.97743860E+00  3.10862447E-15  2.68965237E-03
  2.15984495   0.19509032  2.94235584E+00  2.93969788E+00  2.94235584E+00  6.27498054E-13  2.65796055E-03
  2.18438864   0.26671276  2.89132820E+00  2.88871633E+00  2.89132820E+00  1.34736666E-12  2.61186502E-03
  2.20893233   0.33688985  2.82463220E+00  2.82208058E+00  2.82463220E+00  2.59792188E-13  2.55161556E-03
  2.23347603   0.40524131  2.74262927E+00  2.74015173E+00  2.74262927E+00  2.21156427E-13  2.47753868E-03
  2.25801972   0.47139674  2.64576379E+00  2.64337376E+00  2.64576379E+00  9.29034627E-13  2.39003580E-03
  2.28256341   0.53499762  2.53456070E+00  2.53227111E+00  2.53456070E+00  9.26370092E-13  2.28958111E-03
  2.30710710   0.59569930  2.40962259E+00  2.40744588E+00  2.40962259E+00  5.77760062E-13  2.17671898E-03
  2.33165080   0.65317284  2.27162654E+00  2.26957448E+00  2.27162654E+00  5.52002888E-13  2.05206102E-03
  2.35619449   0.70710678  2.12132034E+00  2.11940406E+00  2.12132034E+00  9.30366895E-13  1.91628277E-03
  2.38073818   0.75720885  1.95951853E+00  1.95774841E+00  1.95951853E+00  7.30526750E-13  1.77012001E-03
  2.40528188   0.80320753  1.78709791E+00  1.78548355E+00  1.78709791E+00  4.06341627E-13  1.61436482E-03
  2.42982557   0.84485357  1.60499286E+00  1.60354300E+00  1.60499286E+00  7.18536342E-13  1.44986125E-03
  2.45436926   0.88192126  1.41419021E+00  1.41291271E+00  1.41419021E+00  1.16551213E-12  1.27750075E-03
  2.47891295   0.91420976  1.21572394E+00  1.21462572E+00  1.21572394E+00  1.54742885E-12  1.09821737E-03
  2.50345665   0.94154407  1.01066956E+00  1.00975658E+00  1.01066956E+00  1.27697852E-12  9.12982647E-04
  2.52800034   0.96377607  8.00138272E-01  7.99415472E-01  8.00138272E-01  7.94919686E-14  7.22800395E-04
  2.55254403   0.98078528  5.85270966E-01  5.84742265E-01  5.85270966E-01  7.00550729E-14  5.28701226E-04
  2.57708772   0.99247953  3.67232026E-01  3.66900289E-01  3.67232026E-01  1.89404048E-13  3.31736979E-04
  2.60163142   0.99879546  1.47203023E-01  1.47070048E-01  1.47203023E-01  7.41906536E-13  1.32975021E-04
  2.62617511   0.99969882 -7.36236856E-02 -7.35571780E-02 -7.36236856E-02  5.67740299E-14  6.65075411E-05
  2.65071880   0.99518473 -2.94051421E-01 -2.93785791E-01 -2.94051421E-01  2.22044605E-15  2.65629693E-04
  2.67526249   0.98527764 -5.12885666E-01 -5.12422354E-01 -5.12885666E-01  2.39219755E-12  4.63312374E-04
  2.69980619   0.97003125 -7.28940540E-01 -7.28282055E-01 -7.28940540E-01  1.15929488E-12  6.58484325E-04
  2.72434988   0.94952818 -9.41045221E-01 -9.40195133E-01 -9.41045221E-01  7.49844631E-13  8.50087893E-04
  2.74889357   0.92387953 -1.14805030E+00 -1.14701321E+00 -1.14805030E+00  1.68531855E-13  1.03708476E-03
  2.77343726   0.89322430 -1.34883399E+00 -1.34761553E+00 -1.34883399E+00  5.02486941E-13  1.21846158E-03
  2.79798096   0.85772861 -1.54230823E+00 -1.54091500E+00 -1.54230823E+00  3.59934305E-13  1.39323544E-03
  2.82252465   0.81758481 -1.72742457E+00 -1.72586412E+00 -1.72742457E+00  4.41868764E-13  1.56045925E-03
  2.84706834   0.77301045 -1.90317985E+00 -1.90146063E+00 -1.90317985E+00  9.39026634E-13  1.71922679E-03
  2.87161203   0.72424708 -2.06862163E+00 -2.06675296E+00 -2.06862163E+00  1.42108547E-14  1.86867769E-03
  2.89615573   0.67155895 -2.22285338E+00 -2.22084537E+00 -2.22285338E+00  8.85513884E-13  2.00800206E-03
  2.92069942   0.61523159 -2.36503928E+00 -2.36290284E+00 -2.36503928E+00  5.00488540E-13  2.13644490E-03
  2.94524311   0.55557023 -2.49440884E+00 -2.49215553E+00 -2.49440884E+00  6.76347867E-13  2.25331015E-03
  2.96978681   0.49289819 -2.61026097E+00 -2.60790301E+00 -2.61026097E+00  8.79296636E-14  2.35796453E-03
  2.99433050   0.42755509 -2.71196788E+00 -2.70951804E+00 -2.71196788E+00  1.00364161E-13  2.44984089E-03
  3.01887419   0.35989504 -2.79897840E+00 -2.79644996E+00 -2.79897840E+00  1.50102153E-13  2.52844135E-03
  3.04341788   0.29028468 -2.87082101E+00 -2.86822767E+00 -2.87082101E+00  1.00053299E-12  2.59333996E-03
  3.06796158   0.21910124 -2.92710639E+00 -2.92446221E+00 -2.92710639E+00  1.56497038E-12  2.64418505E-03
  3.09250527   0.14673047 -2.96752953E+00 -2.96484883E+00 -2.96752953E+00  4.88942220E-13  2.68070106E-03
  3.11704896   0.07356456 -2.99187137E+00 -2.98916868E+00 -2.99187137E+00  6.92779167E-14  2.70269013E-03
  3.14159265   0.00000000 -3.00000000E+00 -2.99728997E+00 -3.00000000E+00  8.26450020E-13  2.71003308E-03
  3.16613635  -0.07356456 -2.99187137E+00 -2.98916868E+00 -2.99187137E+00  1.31850086E-12  2.70269013E-03
  3.19068004  -0.14673047 -2.96752953E+00 -2.96484883E+00 -2.96752953E+00  1.76969550E-12  2.68070106E-03
  3.21522373  -0.21910124 -2.92710639E+00 -2.92446221E+00 -2.92710639E+00  4.50750548E-13  2.64418505E-03
  3.23976742  -0.29028468 -2.87082101E+00 -2.86822767E+00 -2.87082101E+00  8.12239165E-13  2.59333996E-03
  3.26431112  -0.35989504 -2.79897840E+00 -2.79644996E+00 -2.79897840E+00  1.99396055E-13  2.52844135E-03
  3.28885481  -0.42755509 -2.71196788E+00 -2.70951804E+00 -2.71196788E+00  3.26849658E-13  2.44984089E-03
  3.31339850  -0.49289819 -2.61026097E+00 -2.60790301E+00 -2.61026097E+00  1.24167343E-12  2.35796453E-03
  3.33794219  -0.55557023 -2.49440884E+00 -2.49215553E+00 -2.49440884E+00  1.68665082E-12  2.25331015E-03
  3.36248589  -0.61523159 -2.36503928E+00 -2.36290284E+00 -2.36503928E+00  1.07691633E-12  2.13644490E-03
  3.38702958  -0.67155895 -2.22285338E+00 -2.22084537E+00 -2.22285338E+00  3.16191517E-13  2.00800206E-03
  3.41157327  -0.72424708 -2.06862163E+00 -2.06675296E+00 -2.06862163E+00  9.15711951E-13  1.86867769E-03
  3.43611696  -0.77301045 -1.90317985E+00 -1.90146063E+00 -1.90317985E+00  1.00786046E-12  1.71922679E-03
  3.46066066  -0.81758481 -1.72742457E+00 -1.72586412E+00 -1.72742457E+00  2.39364084E-13  1.56045925E-03
  3.48520435  -0.85772861 -1.54230823E+00 -1.54091500E+00 -1.54230823E+00  4.56523708E-13  1.39323544E-03
  3.50974804  -0.89322430 -1.34883399E+00 -1.34761553E+00 -1.34883399E+00  1.01008091E-12  1.21846158E-03
  3.53429174  -0.92387953 -1.14805030E+00 -1.14701321E+00 -1.14805030E+00  1.31583633E-12  1.03708476E-03
  3.55883543  -0.94952818 -9.41045221E-01 -9.40195133E-01 -9.41045221E-01  5.22026866E-13  8.50087893E-04
  3.58337912  -0.97003125 -7.28940540E-01 -7.28282055E-01 -7.28940540E-01  2.28084218E-12  6.58484325E-04
  3.60792281  -0.98527764 -5.12885666E-01 -5.12422354E-01 -5.12885666E-01  2.14783746E-12  4.63312374E-04
  3.63246651  -0.99518473 -2.94051421E-01 -2.93785791E-01 -2.94051421E-01  1.58650870E-12  2.65629693E-04
  3.65701020  -0.99969882 -7.36236856E-02 -7.35571780E-02 -7.36236856E-02  1.81053783E-12  6.65075411E-05
  3.68155389  -0.99879546  1.47203023E-01  1.47070048E-01  1.47203023E-01  7.83095810E-13  1.32975021E-04
  3.70609758  -0.99247953  3.67232026E-01  3.66900289E-01  3.67232026E-01  3.24518190E-13  3.31736979E-04
  3.73064128  -0.98078528  5.85270966E-01  5.84742265E-01  5.85270966E-01  1.16329169E-12  5.28701226E-04
  3.75518497  -0.96377607  8.00138272E-01  7.99415472E-01  8.00138272E-01  5.32573985E-13  7.22800395E-04
  3.77972866  -0.94154407  1.01066956E+00  1.00975658E+00  1.01066956E+00  2.67341704E-13  9.12982647E-04
  3.80427235  -0.91420976  1.21572394E+00  1.21462572E+00  1.21572394E+00  7.10098647E-13  1.09821737E-03
  3.82881605  -0.88192126  1.41419021E+00  1.41291271E+00  1.41419021E+00  3.30402372E-13  1.27750075E-03
  3.85335974  -0.84485357  1.60499286E+00  1.60354300E+00  1.60499286E+00  1.15907284E-12  1.44986125E-03
  3.87790343  -0.80320753  1.78709791E+00  1.78548355E+00  1.78709791E+00  1.10489395E-12  1.61436482E-03
  3.90244712  -0.75720885  1.95951853E+00  1.95774841E+00  1.95951853E+00  1.29163347E-12  1.77012001E-03
  3.92699082  -0.70710678  2.12132034E+00  2.11940406E+00  2.12132034E+00  1.13997700E-12  1.91628277E-03
  3.95153451  -0.65317284  2.27162654E+00  2.26957448E+00  2.27162654E+00  7.62057084E-13  2.05206102E-03
  3.97607820  -0.59569930  2.40962259E+00  2.40744588E+00  2.40962259E+00  5.43121104E-13  2.17671898E-03
  4.00062189  -0.53499762  2.53456070E+00  2.53227111E+00  2.53456070E+00  3.73479025E-13  2.28958111E-03
  4.02516559  -0.47139674  2.64576379E+00  2.64337376E+00  2.64576379E+00  1.67554859E-12  2.39003580E-03
  4.04970928  -0.40524131  2.74262927E+00  2.74015173E+00  2.74262927E+00  2.41140441E-13  2.47753868E-03
  4.07425297  -0.33688985  2.82463220E+00  2.82208058E+00  2.82463220E+00  2.49711363E-12  2.55161556E-03
  4.09879667  -0.26671276  2.89132820E+00  2.88871633E+00  2.89132820E+00  3.07531778E-12  2.61186502E-03
  4.12334036  -0.19509032  2.94235584E+00  2.93969788E+00  2.94235584E+00  2.97761815E-12  2.65796055E-03
  4.14788405  -0.12241068  2.97743860E+00  2.97474895E+00  2.97743860E+00  2.89457347E-12  2.68965237E-03
  4.17242774  -0.04906767  2.99638637E+00  2.99367960E+00  2.99638637E+00  1.04893871E-12  2.70676873E-03
  4.19697144   0.02454123  2.99909646E+00  2.99638724E+00  2.99909646E+00  5.04041253E-13  2.70921687E-03
  4.22151513   0.09801714  2.98555418E+00  2.98285720E+00  2.98555418E+00  1.90958360E-13  2.69698353E-03
  4.24605882   0.17096189  2.95583293E+00  2.95316279E+00  2.95583293E+00  1.24611432E-12  2.67013500E-03
  4.27060251   0.24298018  2.91009376E+00  2.90746494E+00  2.91009376E+00  6.97220059E-13  2.62881678E-03
  4.29514621   0.31368174  2.84858454E+00  2.84601129E+00  2.84858454E+00  1.03383968E-12  2.57325278E-03
  4.31968990   0.38268343  2.77163860E+00  2.76913485E+00  2.77163860E+00  7.06101844E-14  2.50374409E-03
  4.34423359   0.44961133  2.67967290E+00  2.67725224E+00  2.67967290E+00  2.41584530E-13  2.42066740E-03
  4.36877728   0.51410274  2.57318583E+00  2.57086136E+00  2.57318583E+00  1.81143989E-12  2.32447291E-03
  4.39332098   0.57580819  2.45275444E+00  2.45053876E+00  2.45275444E+00  1.29896094E-12  2.21568189E-03
  4.41786467   0.63439328  2.31903136E+00  2.31693648E+00  2.31903136E+00  1.49125157E-12  2.09488390E-03
  4.44240836   0.68954054  2.17274125E+00  2.17077852E+00  2.17274125E+00  1.79989357E-12  1.96273355E-03
  4.46695205   0.74095113  2.01467686E+00  2.01285692E+00  2.01467686E+00  2.21911378E-12  1.81994698E-03
  4.49149575   0.78834643  1.84569477E+00  1.84402747E+00  1.84569477E+00  1.88271621E-12  1.66729796E-03
  4.51603944   0.83146961  1.66671070E+00  1.66520509E+00  1.66671070E+00  5.77315973E-15  1.50561371E-03
  4.54058313   0.87008699  1.47869458E+00  1.47735881E+00  1.47869458E+00  1.20237154E-12  1.33577041E-03
  4.56512682   0.90398929  1.28266528E+00  1.28150659E+00  1.28266528E+00  2.25597319E-13  1.15868845E-03
  4.58967052   0.93299280  1.07968511E+00  1.07870978E+00  1.07968511E+00  7.37410133E-13  9.75327454E-04
  4.61421421   0.95694034  8.70854032E-01  8.70067351E-01  8.70854032E-01  6.16062756E-13  7.86681078E-04
  4.63875790   0.97570213  6.57303720E-01  6.56709949E-01  6.57303720E-01  1.18016708E-13  5.93771608E-04
  4.66330160   0.98917651  4.40191423E-01  4.39793779E-01  4.40191423E-01  1.12798659E-12  3.97644439E-04
  4.68784529   0.99729046  2.20693691E-01  2.20494328E-01  2.20693691E-01  2.24792407E-13  1.99362401E-04
  4.71238898   1.00000000  9.30655995E-13  2.26172777E-15  1.65327318E-15  9.29002721E-13  6.08454595E-16
  4.73693267   0.99729046 -2.20693691E-01 -2.20494328E-01 -2.20693691E-01  2.51104693E-13  1.99362401E-04
  4.76147637   0.98917651 -4.40191423E-01 -4.39793779E-01 -4.40191423E-01  1.52822199E-13  3.97644439E-04
  4.78602006   0.97570213 -6.57303720E-01 -6.56709949E-01 -6.57303720E-01  9.79216708E-14  5.93771608E-04
  4.81056375   0.95694034 -8.70854032E-01 -8.70067351E-01 -8.70854032E-01  1.50157664E-12  7.86681078E-04
  4.83510744   0.93299280 -1.07968511E+00 -1.07870978E+00 -1.07968511E+00  1.31050726E-12  9.75327454E-04
  4.85965114   0.90398929 -1.28266528E+00 -1.28150659E+00 -1.28266528E+00  4.98712183E-13  1.15868845E-03
  4.88419483   0.87008699 -1.47869458E+00 -1.47735881E+00 -1.47869458E+00  1.96753724E-12  1.33577041E-03
  4.90873852   0.83146961 -1.66671070E+00 -1.66520509E+00 -1.66671070E+00  5.50226531E-13  1.50561371E-03
  4.93328221   0.78834643 -1.84569477E+00 -1.84402747E+00 -1.84569477E+00  1.03583808E-12  1.66729796E-03
  4.95782591   0.74095113 -2.01467686E+00 -2.01285692E+00 -2.01467686E+00  1.10711440E-12  1.81994698E-03
  4.98236960   0.68954054 -2.17274125E+00 -2.17077852E+00 -2.17274125E+00  1.67865721E-13  1.96273355E-03
  5.00691329   0.63439328 -2.31903136E+00 -2.31693648E+00 -2.31903136E+00  4.55191440E-13  2.09488390E-03
  5.03145698   0.57580819 -2.45275444E+00 -2.45053876E+00 -2.45275444E+00  5.14699394E-13  2.21568189E-03
  5.05600068   0.51410274 -2.57318583E+00 -2.57086136E+00 -2.57318583E+00  1.29274369E-12  2.32447291E-03
  5.08054437   0.44961133 -2.67967290E+00 -2.67725224E+00 -2.67967290E+00  4.90718577E-13  2.42066740E-03
  5.10508806   0.38268343 -2.77163860E+00 -2.76913485E+00 -2.77163860E+00  7.90478794E-14  2.50374409E-03
  5.12963175   0.31368174 -2.84858454E+00 -2.84601129E+00 -2.84858454E+00  2.08721929E-14  2.57325278E-03
  5.15417545   0.24298018 -2.91009376E+00 -2.90746494E+00 -2.91009376E+00  6.44817533E-13  2.62881678E-03
  5.17871914   0.17096189 -2.95583293E+00 -2.95316279E+00 -2.95583293E+00  3.41948692E-13  2.67013500E-03
  5.20326283   0.09801714 -2.98555418E+00 -2.98285720E+00 -2.98555418E+00  1.11288756E-12  2.69698353E-03
  5.22780653   0.02454123 -2.99909646E+00 -2.99638724E+00 -2.99909646E+00  6.65245636E-13  2.70921687E-03
  5.25235022  -0.04906767 -2.99638637E+00 -2.99367960E+00 -2.99638637E+00  5.30242517E-13  2.70676873E-03
  5.27689391  -0.12241068 -2.97743860E+00 -2.97474895E+00 -2.97743860E+00  1.19593224E-12  2.68965237E-03
  5.30143760  -0.19509032 -2.94235584E+00 -2.93969788E+00 -2.94235584E+00  2.52198262E-12  2.65796055E-03
  5.32598130  -0.26671276 -2.89132820E+00 -2.88871633E+00 -2.89132820E+00  3.06688008E-12  2.61186502E-03
  5.35052499  -0.33688985 -2.82463220E+00 -2.82208058E+00 -2.82463220E+00  1.61515246E-12  2.55161556E-03
  5.37506868  -0.40524131 -2.74262927E+00 -2.74015173E+00 -2.74262927E+00  5.79980508E-13  2.47753868E-03
  5.39961237  -0.47139674 -2.64576379E+00 -2.64337376E+00 -2.64576379E+00  2.97095681E-13  2.39003580E-03
  5.42415607  -0.53499762 -2.53456070E+00 -2.53227111E+00 -2.53456070E+00  1.51256785E-12  2.28958111E-03
  5.44869976  -0.59569930 -2.40962259E+00 -2.40744588E+00 -2.40962259E+00  2.46025422E-13  2.17671898E-03
  5.47324345  -0.65317284 -2.27162654E+00 -2.26957448E+00 -2.27162654E+00  3.35287353E-13  2.05206102E-03
  5.49778714  -0.70710678 -2.12132034E+00 -2.11940406E+00 -2.12132034E+00  1.09201537E-12  1.91628277E-03
  5.52233084  -0.75720885 -1.95951853E+00 -1.95774841E+00 -1.95951853E+00  7.20534743E-13  1.77012001E-03
  5.54687453  -0.80320753 -1.78709791E+00 -1.78548355E+00 -1.78709791E+00  1.00741637E-12  1.61436482E-03
  5.57141822  -0.84485357 -1.60499286E+00 -1.60354300E+00 -1.60499286E+00  1.35158551E-12  1.44986125E-03
  5.59596191  -0.88192126 -1.41419021E+00 -1.41291271E+00 -1.41419021E+00  2.37032616E-12  1.27750075E-03
  5.62050561  -0.91420976 -1.21572394E+00 -1.21462572E+00 -1.21572394E+00  3.22630811E-13  1.09821737E-03
  5.64504930  -0.94154407 -1.01066956E+00 -1.00975658E+00 -1.01066956E+00  9.07496300E-13  9.12982647E-04
  5.66959299  -0.96377607 -8.00138272E-01 -7.99415472E-01 -8.00138272E-01  4.10116385E-13  7.22800395E-04
