 method dt steps y numeric y_exact rel_error
 implicit_euler   1.0000000000000000E-004       10000   2.4703282292062327E-323   0.0000000000000000        2.4703282292062327E-323
 bdf2   1.0000000000000000E-004       10000   9.8813129168249309E-324   0.0000000000000000        9.8813129168249309E-324
 rk4   1.0000000000000000E-004       10000   2.4703282292062327E-323   0.0000000000000000        2.4703282292062327E-323
 implicit_euler   5.0000000000000001E-004        2000   4.9406564584124654E-324   0.0000000000000000        4.9406564584124654E-324
 bdf2   5.0000000000000001E-004        2000   0.0000000000000000        0.0000000000000000        0.0000000000000000     
 rk4   5.0000000000000001E-004        2000   4.9406564584124654E-324   0.0000000000000000        4.9406564584124654E-324
 implicit_euler   1.0000000000000000E-003        1000   9.3326361850321888E-302   0.0000000000000000        9.3326361850321888E-302
 bdf2   1.0000000000000000E-003        1000   0.0000000000000000        0.0000000000000000        0.0000000000000000     
 rk4   1.0000000000000000E-003        1000   4.9406564584124654E-324   0.0000000000000000        4.9406564584124654E-324
 implicit_euler   2.0000000000000000E-003         500   2.7502529562031405E-239   0.0000000000000000        2.7502529562031405E-239
 bdf2   2.0000000000000000E-003         500   5.4732296506827020E-213   0.0000000000000000        5.4732296506827020E-213
 rk4   2.0000000000000000E-003         500   2.7502529562031900E-239   0.0000000000000000        2.7502529562031900E-239
