x,u_numeric,u_exact,abs_err
 0.81000,  5.6212960964E-01,  5.6208337785E-01,  4.6231786257E-05
 0.82000,  5.3587086714E-01,  5.3582679498E-01,  4.4072162302E-05
 0.83000,  5.0908328479E-01,  5.0904141575E-01,  4.1869044445E-05
 0.84000,  4.8179329871E-01,  4.8175367410E-01,  3.9624606895E-05
 0.85000,  4.5402784080E-01,  4.5399049974E-01,  3.7341064642E-05
 0.86000,  4.2581431224E-01,  4.2577929157E-01,  3.5020671267E-05
 0.87000,  3.9718055635E-01,  3.9714789063E-01,  3.2665716717E-05
 0.88000,  3.6815483121E-01,  3.6812455268E-01,  3.0278525048E-05
 0.89000,  3.3876578170E-01,  3.3873792025E-01,  2.7861452132E-05
 0.90000,  3.0904241126E-01,  3.0901699437E-01,  2.5416883325E-05
 0.91000,  2.7901405327E-01,  2.7899110604E-01,  2.2947231123E-05
 0.92000,  2.4871034210E-01,  2.4868988716E-01,  2.0454932775E-05
 0.93000,  2.1816118384E-01,  2.1814324140E-01,  1.7942447877E-05
 0.94000,  1.8739672684E-01,  1.8738131459E-01,  1.5412255950E-05
 0.95000,  1.5644733189E-01,  1.5643446504E-01,  1.2866853986E-05
 0.96000,  1.2534354232E-01,  1.2533323356E-01,  1.0308753991E-05
 0.97000,  9.4116053799E-02,  9.4108313319E-02,  7.7404805012E-06
 0.98000,  6.2795684097E-02,  6.2790519529E-02,  5.1645680910E-06
 0.99000,  3.1413342637E-02,  3.1410759078E-02,  2.5835588760E-06
 1.00000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
