x,f(x),Pseudodiff(f)(x)
     -1.6498054475,  5.9090653727E-02,  3.2779776646E+00
     -1.5875486381,  7.2868988875E-02,  3.9828616611E+00
     -1.5252918288,  8.9136760564E-02,  4.8098517817E+00
     -1.4630350195,  1.0815888610E-01,  5.7713711321E+00
     -1.4007782101,  1.3018467614E-01,  6.8790078083E+00
     -1.3385214008,  1.5543571782E-01,  8.1429371486E+00
     -1.2762645914,  1.8409246603E-01,  9.5712865056E+00
     -1.2140077821,  2.1627998675E-01,  1.1169463950E+01
     -1.1517509728,  2.5205343525E-01,  1.2939478681E+01
     -1.0894941634,  2.9138397776E-01,  1.4879286595E+01
     -1.0272373541,  3.3414596424E-01,  1.6982198857E+01
     -0.9649805447,  3.8010622071E-01,  1.9236393927E+01
     -0.9027237354,  4.2891634080E-01,  2.1624573730E+01
     -0.8404669261,  4.8010880860E-01,  2.4123802220E+01
     -0.7782101167,  5.3309767395E-01,  2.6705559198E+01
     -0.7159533074,  5.8718432630E-01,  2.9336033932E+01
     -0.6536964981,  6.4156867903E-01,  3.1976672099E+01
     -0.5914396887,  6.9536579330E-01,  3.4584976403E+01
     -0.5291828794,  7.4762765456E-01,  3.7115546524E+01
     -0.4669260700,  7.9736948678E-01,  3.9521328898E+01
     -0.4046692607,  8.4359967143E-01,  4.1755032201E+01
     -0.3424124514,  8.8535205651E-01,  4.3770651467E+01
     -0.2801556420,  9.2171921709E-01,  4.5525033594E+01
     -0.2178988327,  9.5188508606E-01,  4.6979410517E+01
     -0.1556420233,  9.7515532489E-01,  4.8100824253E+01
     -0.0933852140,  9.9098386015E-01,  4.8863370722E+01
     -0.0311284047,  9.9899417125E-01,  4.9249196779E+01
      0.0311284047,  9.9899417125E-01,  4.9249196779E+01
      0.0933852140,  9.9098386015E-01,  4.8863370722E+01
      0.1556420233,  9.7515532489E-01,  4.8100824253E+01
      0.2178988327,  9.5188508606E-01,  4.6979410517E+01
      0.2801556420,  9.2171921709E-01,  4.5525033594E+01
      0.3424124514,  8.8535205651E-01,  4.3770651467E+01
      0.4046692607,  8.4359967143E-01,  4.1755032201E+01
      0.4669260700,  7.9736948678E-01,  3.9521328898E+01
      0.5291828794,  7.4762765456E-01,  3.7115546524E+01
      0.5914396887,  6.9536579330E-01,  3.4584976403E+01
      0.6536964981,  6.4156867903E-01,  3.1976672099E+01
      0.7159533074,  5.8718432630E-01,  2.9336033932E+01
      0.7782101167,  5.3309767395E-01,  2.6705559198E+01
      0.8404669261,  4.8010880860E-01,  2.4123802220E+01
      0.9027237354,  4.2891634080E-01,  2.1624573730E+01
      0.9649805447,  3.8010622071E-01,  1.9236393927E+01
      1.0272373541,  3.3414596424E-01,  1.6982198857E+01
      1.0894941634,  2.9138397776E-01,  1.4879286595E+01
      1.1517509728,  2.5205343525E-01,  1.2939478681E+01
      1.2140077821,  2.1627998675E-01,  1.1169463950E+01
      1.2762645914,  1.8409246603E-01,  9.5712865056E+00
      1.3385214008,  1.5543571782E-01,  8.1429371486E+00
      1.4007782101,  1.3018467614E-01,  6.8790078083E+00
      1.4630350195,  1.0815888610E-01,  5.7713711321E+00
      1.5252918288,  8.9136760564E-02,  4.8098517817E+00
      1.5875486381,  7.2868988875E-02,  3.9828616611E+00
      1.6498054475,  5.9090653727E-02,  3.2779776646E+00
      1.7120622568,  4.7531754320E-02,  2.6824470694E+00
      1.7743190661,  3.7925968111E-02,  2.1836119477E+00
      1.8365758755,  3.0017603440E-02,  1.7692495979E+00
      1.8988326848,  2.3566795271E-02,  1.4278307333E+00
      1.9610894942,  1.8353074018E-02,  1.1487008994E+00
      2.0233463035,  1.4177492069E-02,  9.2219326482E-01
      2.0856031128,  1.0863525500E-02,  7.3968260388E-01
      2.1478599222,  8.2569820429E-03,  5.9359105044E-01
      2.2101167315,  6.2251439068E-03,  4.7735621402E-01
      2.2723735409,  4.6553593063E-03,  3.8537166512E-01
      2.3346303502,  3.4532732610E-03,  3.1290879582E-01
      2.3968871595,  2.5408598398E-03,  2.5602779952E-01
      2.4591439689,  1.8543875614E-03,  2.1148413343E-01
      2.5214007782,  1.3424195218E-03,  1.7663544091E-01
      2.5836575875,  9.6392180172E-04,  1.4935260695E-01
      2.6459143969,  6.8652898355E-04,  1.2793745547E-01
      2.7081712062,  4.8499484397E-04,  1.1104860783E-01
      2.7704280156,  3.3983967284E-04,  9.7636219103E-02
      2.8326848249,  2.3619308350E-04,  8.6885691352E-02
      2.8949416342,  1.6282224562E-04,  7.8170014966E-02
      2.9571984436,  1.1132968375E-04,  7.1010089633E-02
      3.0194552529,  7.5501567052E-05,  6.5042199559E-02
      3.0817120623,  5.0786194050E-05,  5.9991737554E-02
      3.1439688716,  3.3882613783E-05,  5.5652264765E-02
      3.2062256809,  2.2420555187E-05,  5.1869035335E-02
      3.2684824903,  1.4714671683E-05,  4.8526189924E-02
      3.3307392996,  9.5782447562E-06,  4.5536913915E-02
      3.3929961089,  6.1837033384E-06,  4.2835954635E-02
      3.4552529183,  3.9594491968E-06,  4.0373988715E-02
      3.5175097276,  2.5144337002E-06,  3.8113421133E-02
      3.5797665370,  1.5836549805E-06,  3.6025278150E-02
      3.6420233463,  9.8921662259E-07,  3.4086926261E-02
      3.7042801556,  6.1281299535E-07,  3.2280408002E-02
      3.7665369650,  3.7650028144E-07,  3.0591233706E-02
      3.8287937743,  2.2940254867E-07,  2.9007507195E-02
      3.8910505837,  1.3861854460E-07,  2.7519293926E-02
      3.9533073930,  8.3067071167E-08,  2.6118163954E-02
      4.0155642023,  4.9364524003E-08,  2.4796860178E-02
      4.0778210117,  2.9091976617E-08,  2.3549055989E-02
      4.1400778210,  1.7001887552E-08,  2.2369176517E-02
      4.2023346304,  9.8532558552E-09,  2.1252265162E-02
      4.2645914397,  5.6625729725E-09,  2.0193882392E-02
      4.3268482490,  3.2269455216E-09,  1.9190027704E-02
      4.3891050584,  1.8234974402E-09,  1.8237078261E-02
      4.4513618677,  1.0217529089E-09,  1.7331739802E-02
      4.5136186770,  5.6768162991E-10,  1.6471006575E-02
      4.5758754864,  3.1273217574E-10,  1.5652128147E-02
      4.6381322957,  1.7082013455E-10,  1.4872581443E-02
      4.7003891051,  9.2511079056E-11,  1.4130046921E-02
      4.7626459144,  4.9673577140E-11,  1.3422388042E-02
      4.8249027237,  2.6443703018E-11,  1.2747633398E-02
      4.8871595331,  1.3956344406E-11,  1.2103961087E-02
      4.9494163424,  7.3023107142E-12,  1.1489684907E-02
