x,k,symbol
 -7.0000000000E-01, -3.5000000000E-01,  1.0594810050E+00
 -6.0000000000E-01, -3.0000000000E-01,  1.0440306509E+00
 -5.0000000000E-01, -2.5000000000E-01,  1.0307764064E+00
 -4.0000000000E-01, -2.0000000000E-01,  1.0198039027E+00
 -3.0000000000E-01, -1.5000000000E-01,  1.0111874208E+00
 -2.0000000000E-01, -1.0000000000E-01,  1.0049875621E+00
 -1.0000000000E-01, -5.0000000000E-02,  1.0012492197E+00
  0.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00
  1.0000000000E-01,  5.0000000000E-02,  1.0012492197E+00
  2.0000000000E-01,  1.0000000000E-01,  1.0049875621E+00
  3.0000000000E-01,  1.5000000000E-01,  1.0111874208E+00
  4.0000000000E-01,  2.0000000000E-01,  1.0198039027E+00
  5.0000000000E-01,  2.5000000000E-01,  1.0307764064E+00
  6.0000000000E-01,  3.0000000000E-01,  1.0440306509E+00
  7.0000000000E-01,  3.5000000000E-01,  1.0594810050E+00
  8.0000000000E-01,  4.0000000000E-01,  1.0770329614E+00
  9.0000000000E-01,  4.5000000000E-01,  1.0965856100E+00
  1.0000000000E+00,  5.0000000000E-01,  1.1180339887E+00
  1.1000000000E+00,  5.5000000000E-01,  1.1412712211E+00
  1.2000000000E+00,  6.0000000000E-01,  1.1661903790E+00
  1.3000000000E+00,  6.5000000000E-01,  1.1926860442E+00
  1.4000000000E+00,  7.0000000000E-01,  1.2206555616E+00
  1.5000000000E+00,  7.5000000000E-01,  1.2500000000E+00
  1.6000000000E+00,  8.0000000000E-01,  1.2806248475E+00
  1.7000000000E+00,  8.5000000000E-01,  1.3124404748E+00
  1.8000000000E+00,  9.0000000000E-01,  1.3453624047E+00
  1.9000000000E+00,  9.5000000000E-01,  1.3793114224E+00
  2.0000000000E+00,  1.0000000000E+00,  1.4142135624E+00
  2.1000000000E+00,  1.0500000000E+00,  1.4500000000E+00
  2.2000000000E+00,  1.1000000000E+00,  1.4866068747E+00
  2.3000000000E+00,  1.1500000000E+00,  1.5239750654E+00
  2.4000000000E+00,  1.2000000000E+00,  1.5620499352E+00
  2.5000000000E+00,  1.2500000000E+00,  1.6007810594E+00
  2.6000000000E+00,  1.3000000000E+00,  1.6401219467E+00
  2.7000000000E+00,  1.3500000000E+00,  1.6800297616E+00
  2.8000000000E+00,  1.4000000000E+00,  1.7204650534E+00
