x,y,u
 0.00000, 0.00000, 0.00000000E+00
 0.01250, 0.00000, 0.00000000E+00
 0.02500, 0.00000, 0.00000000E+00
 0.03750, 0.00000, 0.00000000E+00
 0.05000, 0.00000, 0.00000000E+00
 0.06250, 0.00000, 0.00000000E+00
 0.07500, 0.00000, 0.00000000E+00
 0.08750, 0.00000, 0.00000000E+00
 0.10000, 0.00000, 0.00000000E+00
 0.11250, 0.00000, 0.00000000E+00
 0.12500, 0.00000, 0.00000000E+00
 0.13750, 0.00000, 0.00000000E+00
 0.15000, 0.00000, 0.00000000E+00
 0.16250, 0.00000, 0.00000000E+00
 0.17500, 0.00000, 0.00000000E+00
 0.18750, 0.00000, 0.00000000E+00
 0.20000, 0.00000, 0.00000000E+00
 0.21250, 0.00000, 0.00000000E+00
 0.22500, 0.00000, 0.00000000E+00
 0.23750, 0.00000, 0.00000000E+00
 0.25000, 0.00000, 0.00000000E+00
 0.26250, 0.00000, 0.00000000E+00
 0.27500, 0.00000, 0.00000000E+00
 0.28750, 0.00000, 0.00000000E+00
 0.30000, 0.00000, 0.00000000E+00
 0.31250, 0.00000, 0.00000000E+00
 0.32500, 0.00000, 0.00000000E+00
 0.33750, 0.00000, 0.00000000E+00
 0.35000, 0.00000, 0.00000000E+00
 0.36250, 0.00000, 0.00000000E+00
 0.37500, 0.00000, 0.00000000E+00
 0.38750, 0.00000, 0.00000000E+00
 0.40000, 0.00000, 0.00000000E+00
 0.41250, 0.00000, 0.00000000E+00
 0.42500, 0.00000, 0.00000000E+00
 0.43750, 0.00000, 0.00000000E+00
 0.45000, 0.00000, 0.00000000E+00
 0.46250, 0.00000, 0.00000000E+00
 0.47500, 0.00000, 0.00000000E+00
 0.48750, 0.00000, 0.00000000E+00
 0.50000, 0.00000, 0.00000000E+00
 0.51250, 0.00000, 0.00000000E+00
 0.52500, 0.00000, 0.00000000E+00
 0.53750, 0.00000, 0.00000000E+00
 0.55000, 0.00000, 0.00000000E+00
 0.56250, 0.00000, 0.00000000E+00
 0.57500, 0.00000, 0.00000000E+00
 0.58750, 0.00000, 0.00000000E+00
 0.60000, 0.00000, 0.00000000E+00
 0.61250, 0.00000, 0.00000000E+00
 0.62500, 0.00000, 0.00000000E+00
 0.63750, 0.00000, 0.00000000E+00
 0.65000, 0.00000, 0.00000000E+00
 0.66250, 0.00000, 0.00000000E+00
 0.67500, 0.00000, 0.00000000E+00
 0.68750, 0.00000, 0.00000000E+00
 0.70000, 0.00000, 0.00000000E+00
 0.71250, 0.00000, 0.00000000E+00
 0.72500, 0.00000, 0.00000000E+00
 0.73750, 0.00000, 0.00000000E+00
 0.75000, 0.00000, 0.00000000E+00
 0.76250, 0.00000, 0.00000000E+00
 0.77500, 0.00000, 0.00000000E+00
 0.78750, 0.00000, 0.00000000E+00
 0.80000, 0.00000, 0.00000000E+00
 0.81250, 0.00000, 0.00000000E+00
 0.82500, 0.00000, 0.00000000E+00
 0.83750, 0.00000, 0.00000000E+00
 0.85000, 0.00000, 0.00000000E+00
 0.86250, 0.00000, 0.00000000E+00
 0.87500, 0.00000, 0.00000000E+00
 0.88750, 0.00000, 0.00000000E+00
 0.90000, 0.00000, 0.00000000E+00
 0.91250, 0.00000, 0.00000000E+00
 0.92500, 0.00000, 0.00000000E+00
 0.93750, 0.00000, 0.00000000E+00
 0.95000, 0.00000, 0.00000000E+00
 0.96250, 0.00000, 0.00000000E+00
 0.97500, 0.00000, 0.00000000E+00
 0.98750, 0.00000, 0.00000000E+00
 1.00000, 0.00000, 0.00000000E+00
 0.00000, 0.01250, 0.00000000E+00
 0.01250, 0.01250, 1.53829406E-03
 0.02500, 0.01250, 3.07421618E-03
 0.03750, 0.01250, 4.60539808E-03
 0.05000, 0.01250, 6.12947879E-03
 0.06250, 0.01250, 7.64410828E-03
 0.07500, 0.01250, 9.14695112E-03
 0.08750, 0.01250, 1.06356900E-02
 0.10000, 0.01250, 1.21080295E-02
 0.11250, 0.01250, 1.35616992E-02
 0.12500, 0.01250, 1.49944578E-02
 0.13750, 0.01250, 1.64040960E-02
 0.15000, 0.01250, 1.77884402E-02
 0.16250, 0.01250, 1.91453560E-02
 0.17500, 0.01250, 2.04727511E-02
 0.18750, 0.01250, 2.17685786E-02
 0.20000, 0.01250, 2.30308406E-02
 0.21250, 0.01250, 2.42575907E-02
 0.22500, 0.01250, 2.54469373E-02
 0.23750, 0.01250, 2.65970467E-02
 0.25000, 0.01250, 2.77061452E-02
 0.26250, 0.01250, 2.87725230E-02
 0.27500, 0.01250, 2.97945355E-02
 0.28750, 0.01250, 3.07706071E-02
 0.30000, 0.01250, 3.16992326E-02
 0.31250, 0.01250, 3.25789802E-02
 0.32500, 0.01250, 3.34084934E-02
 0.33750, 0.01250, 3.41864931E-02
 0.35000, 0.01250, 3.49117797E-02
 0.36250, 0.01250, 3.55832349E-02
 0.37500, 0.01250, 3.61998233E-02
 0.38750, 0.01250, 3.67605942E-02
 0.40000, 0.01250, 3.72646829E-02
 0.41250, 0.01250, 3.77113122E-02
 0.42500, 0.01250, 3.80997933E-02
 0.43750, 0.01250, 3.84295274E-02
 0.45000, 0.01250, 3.87000059E-02
 0.46250, 0.01250, 3.89108118E-02
 0.47500, 0.01250, 3.90616201E-02
 0.48750, 0.01250, 3.91521981E-02
 0.50000, 0.01250, 3.91824064E-02
 0.51250, 0.01250, 3.91521981E-02
 0.52500, 0.01250, 3.90616201E-02
 0.53750, 0.01250, 3.89108118E-02
 0.55000, 0.01250, 3.87000059E-02
 0.56250, 0.01250, 3.84295274E-02
 0.57500, 0.01250, 3.80997933E-02
 0.58750, 0.01250, 3.77113122E-02
 0.60000, 0.01250, 3.72646829E-02
 0.61250, 0.01250, 3.67605942E-02
 0.62500, 0.01250, 3.61998233E-02
 0.63750, 0.01250, 3.55832349E-02
 0.65000, 0.01250, 3.49117797E-02
 0.66250, 0.01250, 3.41864931E-02
 0.67500, 0.01250, 3.34084934E-02
 0.68750, 0.01250, 3.25789802E-02
 0.70000, 0.01250, 3.16992326E-02
 0.71250, 0.01250, 3.07706071E-02
 0.72500, 0.01250, 2.97945355E-02
 0.73750, 0.01250, 2.87725229E-02
 0.75000, 0.01250, 2.77061452E-02
 0.76250, 0.01250, 2.65970466E-02
 0.77500, 0.01250, 2.54469373E-02
 0.78750, 0.01250, 2.42575907E-02
 0.80000, 0.01250, 2.30308406E-02
 0.81250, 0.01250, 2.17685786E-02
 0.82500, 0.01250, 2.04727511E-02
 0.83750, 0.01250, 1.91453560E-02
 0.85000, 0.01250, 1.77884402E-02
 0.86250, 0.01250, 1.64040959E-02
 0.87500, 0.01250, 1.49944577E-02
 0.88750, 0.01250, 1.35616992E-02
 0.90000, 0.01250, 1.21080294E-02
 0.91250, 0.01250, 1.06356900E-02
 0.92500, 0.01250, 9.14695114E-03
 0.93750, 0.01250, 7.64410832E-03
 0.95000, 0.01250, 6.12947870E-03
 0.96250, 0.01250, 4.60539806E-03
 0.97500, 0.01250, 3.07421619E-03
 0.98750, 0.01250, 1.53829406E-03
 1.00000, 0.01250, 4.80794077E-18
 0.00000, 0.02500, 0.00000000E+00
 0.01250, 0.02500, 3.07421618E-03
 0.02500, 0.02500, 6.14369213E-03
 0.03750, 0.02500, 9.20369496E-03
 0.05000, 0.02500, 1.22495064E-02
 0.06250, 0.02500, 1.52764299E-02
 0.07500, 0.02500, 1.82797983E-02
 0.08750, 0.02500, 2.12549806E-02
 0.10000, 0.02500, 2.41973892E-02
 0.11250, 0.02500, 2.71024872E-02
 0.12500, 0.02500, 2.99657951E-02
 0.13750, 0.02500, 3.27828980E-02
 0.15000, 0.02500, 3.55494520E-02
 0.16250, 0.02500, 3.82611913E-02
 0.17500, 0.02500, 4.09139347E-02
 0.18750, 0.02500, 4.35035917E-02
 0.20000, 0.02500, 4.60261693E-02
 0.21250, 0.02500, 4.84777779E-02
 0.22500, 0.02500, 5.08546373E-02
 0.23750, 0.02500, 5.31530826E-02
 0.25000, 0.02500, 5.53695696E-02
 0.26250, 0.02500, 5.75006808E-02
 0.27500, 0.02500, 5.95431301E-02
 0.28750, 0.02500, 6.14937682E-02
 0.30000, 0.02500, 6.33495873E-02
 0.31250, 0.02500, 6.51077260E-02
 0.32500, 0.02500, 6.67654733E-02
 0.33750, 0.02500, 6.83202731E-02
 0.35000, 0.02500, 6.97697279E-02
 0.36250, 0.02500, 7.11116029E-02
 0.37500, 0.02500, 7.23438290E-02
 0.38750, 0.02500, 7.34645061E-02
 0.40000, 0.02500, 7.44719063E-02
 0.41250, 0.02500, 7.53644762E-02
 0.42500, 0.02500, 7.61408396E-02
 0.43750, 0.02500, 7.67997992E-02
 0.45000, 0.02500, 7.73403392E-02
 0.46250, 0.02500, 7.77616260E-02
 0.47500, 0.02500, 7.80630099E-02
 0.48750, 0.02500, 7.82440264E-02
 0.50000, 0.02500, 7.83043963E-02
 0.51250, 0.02500, 7.82440264E-02
 0.52500, 0.02500, 7.80630099E-02
 0.53750, 0.02500, 7.77616260E-02
 0.55000, 0.02500, 7.73403392E-02
 0.56250, 0.02500, 7.67997992E-02
 0.57500, 0.02500, 7.61408396E-02
 0.58750, 0.02500, 7.53644762E-02
 0.60000, 0.02500, 7.44719063E-02
 0.61250, 0.02500, 7.34645061E-02
 0.62500, 0.02500, 7.23438290E-02
 0.63750, 0.02500, 7.11116029E-02
 0.65000, 0.02500, 6.97697279E-02
 0.66250, 0.02500, 6.83202731E-02
 0.67500, 0.02500, 6.67654733E-02
 0.68750, 0.02500, 6.51077260E-02
 0.70000, 0.02500, 6.33495873E-02
 0.71250, 0.02500, 6.14937681E-02
 0.72500, 0.02500, 5.95431300E-02
 0.73750, 0.02500, 5.75006808E-02
 0.75000, 0.02500, 5.53695696E-02
 0.76250, 0.02500, 5.31530826E-02
 0.77500, 0.02500, 5.08546373E-02
 0.78750, 0.02500, 4.84777779E-02
 0.80000, 0.02500, 4.60261693E-02
 0.81250, 0.02500, 4.35035917E-02
 0.82500, 0.02500, 4.09139346E-02
 0.83750, 0.02500, 3.82611913E-02
 0.85000, 0.02500, 3.55494520E-02
 0.86250, 0.02500, 3.27828980E-02
 0.87500, 0.02500, 2.99657951E-02
 0.88750, 0.02500, 2.71024872E-02
 0.90000, 0.02500, 2.41973892E-02
 0.91250, 0.02500, 2.12549805E-02
 0.92500, 0.02500, 1.82797983E-02
 0.93750, 0.02500, 1.52764299E-02
 0.95000, 0.02500, 1.22495062E-02
 0.96250, 0.02500, 9.20369497E-03
 0.97500, 0.02500, 6.14369213E-03
 0.98750, 0.02500, 3.07421617E-03
 1.00000, 0.02500, 9.60846804E-18
 0.00000, 0.03750, 0.00000000E+00
 0.01250, 0.03750, 4.60539808E-03
 0.02500, 0.03750, 9.20369496E-03
 0.03750, 0.03750, 1.37878004E-02
 0.05000, 0.03750, 1.83506461E-02
 0.06250, 0.03750, 2.28851964E-02
 0.07500, 0.03750, 2.73844593E-02
 0.08750, 0.03750, 3.18414975E-02
 0.10000, 0.03750, 3.62494383E-02
 0.11250, 0.03750, 4.06014851E-02
 0.12500, 0.03750, 4.48909274E-02
 0.13750, 0.03750, 4.91111512E-02
 0.15000, 0.03750, 5.32556491E-02
 0.16250, 0.03750, 5.73180306E-02
 0.17500, 0.03750, 6.12920319E-02
 0.18750, 0.03750, 6.51715254E-02
 0.20000, 0.03750, 6.89505290E-02
 0.21250, 0.03750, 7.26232160E-02
 0.22500, 0.03750, 7.61839232E-02
 0.23750, 0.03750, 7.96271603E-02
 0.25000, 0.03750, 8.29476181E-02
 0.26250, 0.03750, 8.61401767E-02
 0.27500, 0.03750, 8.91999134E-02
 0.28750, 0.03750, 9.21221103E-02
 0.30000, 0.03750, 9.49022615E-02
 0.31250, 0.03750, 9.75360804E-02
 0.32500, 0.03750, 1.00019506E-01
 0.33750, 0.03750, 1.02348708E-01
 0.35000, 0.03750, 1.04520096E-01
 0.36250, 0.03750, 1.06530322E-01
 0.37500, 0.03750, 1.08376286E-01
 0.38750, 0.03750, 1.10055141E-01
 0.40000, 0.03750, 1.11564299E-01
 0.41250, 0.03750, 1.12901434E-01
 0.42500, 0.03750, 1.14064482E-01
 0.43750, 0.03750, 1.15051651E-01
 0.45000, 0.03750, 1.15861419E-01
 0.46250, 0.03750, 1.16492537E-01
 0.47500, 0.03750, 1.16944032E-01
 0.48750, 0.03750, 1.17215208E-01
 0.50000, 0.03750, 1.17305646E-01
 0.51250, 0.03750, 1.17215208E-01
 0.52500, 0.03750, 1.16944032E-01
 0.53750, 0.03750, 1.16492537E-01
 0.55000, 0.03750, 1.15861419E-01
 0.56250, 0.03750, 1.15051651E-01
 0.57500, 0.03750, 1.14064482E-01
 0.58750, 0.03750, 1.12901434E-01
 0.60000, 0.03750, 1.11564299E-01
 0.61250, 0.03750, 1.10055141E-01
 0.62500, 0.03750, 1.08376286E-01
 0.63750, 0.03750, 1.06530322E-01
 0.65000, 0.03750, 1.04520096E-01
 0.66250, 0.03750, 1.02348708E-01
 0.67500, 0.03750, 1.00019506E-01
 0.68750, 0.03750, 9.75360804E-02
 0.70000, 0.03750, 9.49022615E-02
 0.71250, 0.03750, 9.21221102E-02
 0.72500, 0.03750, 8.91999134E-02
 0.73750, 0.03750, 8.61401767E-02
 0.75000, 0.03750, 8.29476181E-02
 0.76250, 0.03750, 7.96271603E-02
 0.77500, 0.03750, 7.61839231E-02
 0.78750, 0.03750, 7.26232159E-02
 0.80000, 0.03750, 6.89505290E-02
 0.81250, 0.03750, 6.51715253E-02
 0.82500, 0.03750, 6.12920319E-02
 0.83750, 0.03750, 5.73180306E-02
 0.85000, 0.03750, 5.32556490E-02
 0.86250, 0.03750, 4.91111511E-02
 0.87500, 0.03750, 4.48909274E-02
 0.88750, 0.03750, 4.06014851E-02
 0.90000, 0.03750, 3.62494383E-02
 0.91250, 0.03750, 3.18414975E-02
 0.92500, 0.03750, 2.73844594E-02
 0.93750, 0.03750, 2.28851963E-02
 0.95000, 0.03750, 1.83506460E-02
 0.96250, 0.03750, 1.37878004E-02
