x,y,u_numeric,u_exact,abs_error
  0.5000,  0.0250, -7.8499185876E-02,  7.8459095728E-02,  1.5695828160E-01
  0.5250,  0.0250, -7.8257199084E-02,  7.8217232520E-02,  1.5647443160E-01
  0.5500,  0.0250, -7.7532730636E-02,  7.7493134064E-02,  1.5502586470E-01
  0.5750,  0.0250, -7.6330247121E-02,  7.6291264667E-02,  1.5262151179E-01
  0.6000,  0.0250, -7.4657162251E-02,  7.4619034255E-02,  1.4927619651E-01
  0.6250,  0.0250, -7.2523791150E-02,  7.2486752682E-02,  1.4501054383E-01
  0.6500,  0.0250, -6.9943286759E-02,  6.9907566175E-02,  1.3985085293E-01
  0.6750,  0.0250, -6.6931558747E-02,  6.6897376276E-02,  1.3382893502E-01
  0.7000,  0.0250, -6.3507175418E-02,  6.3474741807E-02,  1.2698191723E-01
  0.7250,  0.0250, -5.9691249235E-02,  5.9660764447E-02,  1.1935201368E-01
  0.7500,  0.0250, -5.5507306650E-02,  5.5478958635E-02,  1.1098626529E-01
  0.7750,  0.0250, -5.0981143063E-02,  5.0955106594E-02,  1.0193624966E-01
  0.8000,  0.0250, -4.6140663775E-02,  4.6117099377E-02,  9.2257763152E-02
  0.8250,  0.0250, -4.1015711952E-02,  4.0994764907E-02,  8.2010476858E-02
  0.8500,  0.0250, -3.5637884625E-02,  3.5619684079E-02,  7.1257568704E-02
  0.8750,  0.0250, -3.0040337889E-02,  3.0024996053E-02,  6.0065333942E-02
  0.9000,  0.0250, -2.4257582480E-02,  2.4245193943E-02,  4.8502776423E-02
  0.9250,  0.0250, -1.8325271009E-02,  1.8315912150E-02,  3.6641183159E-02
  0.9500,  0.0250, -1.2279978149E-02,  1.2273706668E-02,  2.4553684816E-02
  0.9750,  0.0250, -6.1589751392E-03,  6.1558297024E-03,  1.2314804842E-02
  1.0000,  0.0250,  0.0000000000E+00,  9.6084680447E-18,  9.6084680447E-18
  0.0000,  0.0500,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.0250,  0.0500, -1.2279978149E-02,  1.2273706668E-02,  2.4553684816E-02
  0.0500,  0.0500, -2.4484246148E-02,  2.4471741852E-02,  4.8955988001E-02
  0.0750,  0.0500, -3.6537560629E-02,  3.6518900611E-02,  7.3056461240E-02
  0.1000,  0.0500, -4.8365608898E-02,  4.8340908203E-02,  9.6706517101E-02
  0.1250,  0.0500, -5.9895467105E-02,  5.9864878022E-02,  1.1976034513E-01
  0.1500,  0.0500, -7.1056049840E-02,  7.1019760960E-02,  1.4207581080E-01
  0.1750,  0.0500, -8.1778548400E-02,  8.1736783456E-02,  1.6351533186E-01
  0.2000,  0.0500, -9.1996855014E-02,  9.1949871501E-02,  1.8394672652E-01
  0.2250,  0.0500, -1.0164797043E-01,  1.0159605801E-01,  2.0324402844E-01
  0.2500,  0.0500, -1.1067239230E-01,  1.1061587104E-01,  2.2128826334E-01
  0.2750,  0.0500, -1.1901448207E-01,  1.1895370044E-01,  2.3796818251E-01
  0.3000,  0.0500, -1.2662280798E-01,  1.2655814072E-01,  2.5318094871E-01
  0.3250,  0.0500, -1.3345046218E-01,  1.3338230798E-01,  2.6683277016E-01
  0.3500,  0.0500, -1.3945534990E-01,  1.3938412896E-01,  2.7883947886E-01
  0.3750,  0.0500, -1.4460044901E-01,  1.4452660043E-01,  2.8912704944E-01
  0.4000,  0.0500, -1.4885403827E-01,  1.4877801735E-01,  2.9763205562E-01
  0.4250,  0.0500, -1.5218989289E-01,  1.5211216832E-01,  3.0430206121E-01
  0.4500,  0.0500, -1.5458744621E-01,  1.5450849719E-01,  3.0909594339E-01
  0.4750,  0.0500, -1.5603191651E-01,  1.5595222979E-01,  3.1198414630E-01
  0.5000,  0.0500, -1.5651439817E-01,  1.5643446504E-01,  3.1294886321E-01
  0.5250,  0.0500, -1.5603191651E-01,  1.5595222979E-01,  3.1198414630E-01
  0.5500,  0.0500, -1.5458744621E-01,  1.5450849719E-01,  3.0909594339E-01
  0.5750,  0.0500, -1.5218989289E-01,  1.5211216832E-01,  3.0430206121E-01
  0.6000,  0.0500, -1.4885403827E-01,  1.4877801735E-01,  2.9763205562E-01
  0.6250,  0.0500, -1.4460044901E-01,  1.4452660043E-01,  2.8912704944E-01
  0.6500,  0.0500, -1.3945534990E-01,  1.3938412896E-01,  2.7883947886E-01
  0.6750,  0.0500, -1.3345046218E-01,  1.3338230798E-01,  2.6683277016E-01
  0.7000,  0.0500, -1.2662280798E-01,  1.2655814072E-01,  2.5318094871E-01
  0.7250,  0.0500, -1.1901448207E-01,  1.1895370044E-01,  2.3796818251E-01
  0.7500,  0.0500, -1.1067239230E-01,  1.1061587104E-01,  2.2128826334E-01
  0.7750,  0.0500, -1.0164797043E-01,  1.0159605801E-01,  2.0324402844E-01
  0.8000,  0.0500, -9.1996855014E-02,  9.1949871501E-02,  1.8394672652E-01
  0.8250,  0.0500, -8.1778548400E-02,  8.1736783456E-02,  1.6351533186E-01
  0.8500,  0.0500, -7.1056049840E-02,  7.1019760960E-02,  1.4207581080E-01
