t,q_ver,p_ver,E_ver,q_mid,p_mid,E_mid
    0.000000  1.00000000E+00 0.00000000E+00 4.59697694E-01 1.00000000E+00 0.00000000E+00 4.59697694E-01
    1.000000  5.99866115E-01 ************** 4.59143414E-01 6.00523385E-01 ************** 4.59630450E-01
    2.000000  ************** ************** 4.58784618E-01 ************** ************** 4.59555524E-01
    3.000000  ************** ************** 4.59637152E-01 ************** ************** 4.59696219E-01
    4.000000  ************** 5.25355860E-01 4.59471335E-01 ************** 5.22702604E-01 4.59682318E-01
    5.000000  ************** 9.57487004E-01 4.58637266E-01 ************** 9.58275680E-01 4.59522279E-01
    6.000000  7.99904697E-01 5.58946453E-01 4.59435497E-01 7.96100804E-01 5.64225659E-01 4.59676779E-01
    7.000000  9.61651420E-01 ************** 4.59652583E-01 9.63527510E-01 ************** 4.59696972E-01
    8.000000  3.48666507E-01 ************** 4.58825557E-01 3.56323949E-01 ************** 4.59566812E-01
    9.000000  ************** ************** 4.59092960E-01 ************** ************** 4.59618543E-01
   10.000000  ************** ************** 4.59696669E-01 ************** ************** 4.59697695E-01
   11.000000  ************** 7.27629446E-01 4.59193072E-01 ************** 7.21222530E-01 4.59641601E-01
   12.000000  2.64494398E-01 9.20839172E-01 4.58747591E-01 2.52289268E-01 9.25082604E-01 4.59545403E-01
   13.000000  9.34770522E-01 3.27482125E-01 4.59619222E-01 9.29986249E-01 3.39234495E-01 4.59695016E-01
   14.000000  8.48598185E-01 ************** 4.59504386E-01 8.55923178E-01 ************** 4.59686786E-01
   15.000000  6.65759036E-02 ************** 4.58643690E-01 8.21960402E-02 ************** 4.59524568E-01
   16.000000  ************** ************** 4.59396947E-01 ************** ************** 4.59670105E-01
   17.000000  ************** 2.14164872E-01 4.59665607E-01 ************** 1.99039730E-01 4.59697396E-01
   18.000000  ************** 8.76235947E-01 4.58869763E-01 ************** 8.69489686E-01 4.59578919E-01
   19.000000  5.27571326E-01 8.03833983E-01 4.59042236E-01 5.10607657E-01 8.14927988E-01 4.59606110E-01
   20.000000  9.96391725E-01 7.78283204E-02 4.59693583E-01 9.94486974E-01 9.62372738E-02 4.59697683E-01
   21.000000  6.67318921E-01 ************** 4.59241467E-01 6.83052064E-01 ************** 4.59651816E-01
   22.000000  ************** ************** 4.58715078E-01 ************** ************** 4.59536778E-01
   23.000000  ************** ************** 4.59598702E-01 ************** ************** 4.59693230E-01
   24.000000  ************** 4.55944493E-01 4.59534620E-01 ************** 4.36298730E-01 4.59690274E-01
   25.000000  ************** 9.51340375E-01 4.58656423E-01 ************** 9.48894958E-01 4.59529064E-01
   26.000000  7.45059309E-01 6.23543911E-01 4.59355813E-01 7.26926610E-01 6.43245985E-01 4.59662268E-01
   27.000000  9.81498647E-01 ************** 4.59676315E-01 9.86310895E-01 ************** 4.59697601E-01
   28.000000  4.29908214E-01 ************** 4.58916571E-01 4.55802643E-01 ************** 4.59591490E-01
   29.000000  ************** ************** 4.58991817E-01 ************** ************** 4.59593431E-01
   30.000000  ************** ************** 4.59688408E-01 ************** ************** 4.59697619E-01
   31.000000  ************** 6.70405363E-01 4.59288195E-01 ************** 6.49043437E-01 4.59660968E-01
   32.000000  1.78079970E-01 9.41141058E-01 4.58687624E-01 1.44995186E-01 9.47667176E-01 4.59529937E-01
   33.000000  9.00990327E-01 4.01022247E-01 4.59575508E-01 8.85946196E-01 4.29529209E-01 4.59690728E-01
   34.000000  8.90856271E-01 ************** 4.59562043E-01 9.05859617E-01 ************** 4.59692897E-01
   35.000000  1.54789030E-01 ************** 4.58675237E-01 1.90748832E-01 ************** 4.59535610E-01
   36.000000  ************** ************** 4.59312275E-01 ************** ************** 4.59653287E-01
   37.000000  ************** 1.37233828E-01 4.59684786E-01 ************** 1.03576791E-01 4.59697678E-01
   38.000000  ************** 8.37715315E-01 4.58965309E-01 ************** 8.19176202E-01 4.59604180E-01
   39.000000  4.50958510E-01 8.47315871E-01 4.58942322E-01 4.14305683E-01 8.65998686E-01 4.59580820E-01
   40.000000  9.85583659E-01 1.55291805E-01 4.59681098E-01 9.77987511E-01 1.91782289E-01 4.59697439E-01
   41.000000  7.29463659E-01 ************** 4.59332918E-01 7.57326395E-01 ************** 4.59668981E-01
   42.000000  ************** ************** 4.58665702E-01 ************** ************** 4.59525116E-01
   43.000000  ************** ************** 4.59549569E-01 ************** ************** 4.59687380E-01
   44.000000  ************** 3.84003519E-01 4.59586691E-01 ************** 3.46244487E-01 4.59694784E-01
   45.000000  ************** 9.37095438E-01 4.58699800E-01 ************** 9.27231591E-01 4.59543979E-01
   46.000000  6.84398779E-01 6.84201520E-01 4.59266577E-01 6.49059065E-01 7.15955467E-01 4.59643228E-01
   47.000000  9.94216243E-01 ************** 4.59691090E-01 9.98167205E-01 ************** 4.59697694E-01
   48.000000  5.07575033E-01 ************** 4.59015315E-01 5.49530387E-01 ************** 4.59616669E-01
